# q I_dat dI_dat
0.006808 0.040467 0.001009
0.007005 0.040917 0.000701
0.007268 0.041896 0.000665
0.007531 0.041105 0.000627
0.007794 0.041956 0.000605
0.008057 0.041437 0.000576
0.008320 0.041316 0.000560
0.008583 0.041530 0.000536
0.008846 0.041488 0.000520
0.009109 0.042266 0.000504
0.009372 0.041059 0.000487
0.009635 0.041725 0.000473
0.009898 0.041047 0.000459
0.010161 0.040445 0.000444
0.010424 0.041576 0.000439
0.010687 0.041498 0.000424
0.010949 0.040840 0.000416
0.011212 0.040773 0.000402
0.011475 0.040097 0.000390
0.011738 0.040622 0.000379
0.012001 0.039847 0.000366
0.012264 0.039991 0.000350
0.012527 0.040248 0.000341
0.012790 0.039990 0.000329
0.013053 0.039737 0.000323
0.013316 0.039531 0.000315
0.013579 0.039186 0.000310
0.013842 0.039015 0.000305
0.014105 0.038592 0.000299
0.014368 0.038785 0.000297
0.014631 0.038844 0.000291
0.014894 0.038617 0.000288
0.015157 0.038279 0.000284
0.015420 0.038018 0.000280
0.015683 0.037887 0.000278
0.015946 0.038002 0.000274
0.016275 0.037445 0.000220
0.016669 0.037271 0.000216
0.017064 0.036975 0.000213
0.017458 0.036407 0.000210
0.017853 0.036042 0.000206
0.018247 0.035987 0.000204
0.018642 0.035843 0.000200
0.019036 0.035491 0.000198
0.019431 0.035224 0.000195
0.019825 0.034665 0.000192
0.020219 0.034427 0.000190
0.020614 0.034059 0.000187
0.021008 0.033882 0.000185
0.021403 0.033398 0.000182
0.021797 0.033110 0.000180
0.022192 0.033111 0.000178
0.022586 0.032366 0.000176
0.022981 0.032159 0.000174
0.023375 0.031870 0.000172
0.023770 0.031505 0.000170
0.024230 0.031155 0.000145
0.024756 0.030767 0.000143
0.025282 0.030478 0.000141
0.025808 0.030106 0.000139
0.026334 0.029287 0.000137
0.026860 0.029032 0.000136
0.027386 0.028493 0.000134
0.027912 0.027994 0.000132
0.028438 0.027784 0.000131
0.028964 0.027160 0.000129
0.029489 0.026907 0.000127
0.030015 0.026404 0.000126
0.030541 0.025855 0.000125
0.031067 0.025552 0.000123
0.031593 0.025087 0.000122
0.032185 0.024526 0.000107
0.032842 0.024021 0.000106
0.033500 0.023520 0.000106
0.034157 0.022987 0.000107
0.034815 0.022516 0.000107
0.035472 0.021884 0.000108
0.036130 0.021463 0.000110
0.036787 0.021066 0.000110
0.037444 0.020493 0.000110
0.038102 0.019953 0.000110
0.038759 0.019443 0.000107
0.039483 0.019086 0.000096
0.040271 0.018423 0.000095
0.041060 0.017971 0.000094
0.041849 0.017469 0.000093
0.042638 0.017042 0.000092
0.043427 0.016412 0.000091
0.044216 0.015736 0.000090
0.045005 0.015231 0.000089
0.045794 0.014717 0.000089
0.046649 0.014306 0.000084
0.047569 0.013759 0.000085
0.048490 0.013343 0.000086
0.049410 0.012670 0.000086
0.050330 0.012158 0.000086
0.051251 0.011711 0.000087
0.052171 0.011429 0.000087
0.053092 0.010807 0.000087
0.054078 0.010269 0.000081
0.055130 0.009917 0.000081
0.056182 0.009357 0.000081
0.057234 0.008931 0.000081
0.058286 0.008423 0.000081
0.059337 0.008113 0.000079
0.060389 0.007638 0.000079
0.061507 0.007327 0.000074
0.062690 0.006739 0.000073
0.063874 0.006370 0.000073
0.065057 0.006129 0.000072
0.066240 0.005732 0.000072
0.067490 0.005446 0.000067
0.068805 0.005086 0.000067
0.070119 0.004760 0.000066
0.071434 0.004330 0.000066
0.072749 0.004011 0.000065
