# q I_dat dI_dat
0.006545 0.023125 0.001109
0.006742 0.022775 0.000746
0.007005 0.021291 0.000714
0.007268 0.021731 0.000672
0.007531 0.020914 0.000634
0.007794 0.020927 0.000607
0.008057 0.021522 0.000579
0.008320 0.020856 0.000561
0.008583 0.020422 0.000536
0.008846 0.020447 0.000515
0.009109 0.020333 0.000500
0.009372 0.020072 0.000480
0.009635 0.019833 0.000466
0.009898 0.020714 0.000451
0.010161 0.020040 0.000435
0.010424 0.019937 0.000432
0.010687 0.019565 0.000416
0.010949 0.019351 0.000407
0.011212 0.019876 0.000393
0.011475 0.019054 0.000381
0.011738 0.019314 0.000368
0.012001 0.018948 0.000354
0.012264 0.019062 0.000339
0.012527 0.018693 0.000330
0.012790 0.019061 0.000319
0.013053 0.018651 0.000312
0.013316 0.018399 0.000304
0.013579 0.018777 0.000299
0.013842 0.018179 0.000294
0.014105 0.018068 0.000289
0.014368 0.018238 0.000287
0.014631 0.017992 0.000281
0.014894 0.017671 0.000277
0.015157 0.017891 0.000274
0.015420 0.018050 0.000270
0.015683 0.017534 0.000268
0.016012 0.017284 0.000214
0.016406 0.016942 0.000210
0.016801 0.017230 0.000208
0.017195 0.016958 0.000205
0.017590 0.016175 0.000201
0.017984 0.016425 0.000198
0.018379 0.016197 0.000195
0.018773 0.016163 0.000192
0.019168 0.015695 0.000189
0.019562 0.015739 0.000188
0.019956 0.015209 0.000185
0.020351 0.015466 0.000182
0.020745 0.015173 0.000180
0.021140 0.014910 0.000178
0.021534 0.015208 0.000177
0.021929 0.014978 0.000174
0.022323 0.014586 0.000172
0.022718 0.014515 0.000170
0.023112 0.014347 0.000168
0.023507 0.014025 0.000167
0.023967 0.014121 0.000143
0.024493 0.013729 0.000140
0.025019 0.013333 0.000138
0.025545 0.013491 0.000137
0.026071 0.013126 0.000135
0.026597 0.013020 0.000133
0.027123 0.012835 0.000132
0.027649 0.012368 0.000130
0.028175 0.012244 0.000129
0.028701 0.012448 0.000127
0.029227 0.011977 0.000126
0.029752 0.011838 0.000125
0.030278 0.011751 0.000123
0.030804 0.011493 0.000122
0.031330 0.011348 0.000121
0.031922 0.011244 0.000107
0.032579 0.010849 0.000106
0.033237 0.010806 0.000105
0.033894 0.010356 0.000106
0.034552 0.010251 0.000107
0.035209 0.010068 0.000107
0.035867 0.009864 0.000110
0.036524 0.009602 0.000110
0.037182 0.009512 0.000111
0.037839 0.009229 0.000111
0.038496 0.009183 0.000109
0.039220 0.008869 0.000098
0.040009 0.008673 0.000097
0.040798 0.008575 0.000096
0.041586 0.008289 0.000095
0.042375 0.008115 0.000094
0.043164 0.007855 0.000094
0.043953 0.007780 0.000093
0.044742 0.007698 0.000092
0.045531 0.007337 0.000091
0.046386 0.007121 0.000086
0.047306 0.006780 0.000087
0.048227 0.006724 0.000089
0.049147 0.006610 0.000089
0.050067 0.006383 0.000090
0.050988 0.006070 0.000090
0.051908 0.005844 0.000090
0.052829 0.005795 0.000091
0.053815 0.005644 0.000085
0.054867 0.005503 0.000085
0.055919 0.005287 0.000086
0.056971 0.005092 0.000086
0.058022 0.004912 0.000085
0.059074 0.004714 0.000084
0.060126 0.004711 0.000084
0.061244 0.004463 0.000078
0.062427 0.004227 0.000078
0.063611 0.004116 0.000077
0.064794 0.003959 0.000077
0.065978 0.003907 0.000077
0.067227 0.003630 0.000072
0.068542 0.003615 0.000072
0.069857 0.003484 0.000071
0.071171 0.003246 0.000071
0.072486 0.003257 0.000071
0.073801 0.002995 0.000070
0.075182 0.002956 0.000067
0.076628 0.002965 0.000066
0.078075 0.002752 0.000066
0.079521 0.002625 0.000065
0.080967 0.002596 0.000065
0.082479 0.002557 0.000062
0.084057 0.002396 0.000061
0.085635 0.002266 0.000061
0.087213 0.002181 0.000061
0.088857 0.002208 0.000058
0.090566 0.002240 0.000058
0.092275 0.002101 0.000060
0.093985 0.002121 0.000058
0.095760 0.002011 0.000055
0.097601 0.002066 0.000055
