# q I_dat dI_dat
0.007860 0.028379 0.000851
0.008057 0.027173 0.000582
0.008320 0.028153 0.000567
0.008583 0.026855 0.000539
0.008846 0.027412 0.000523
0.009109 0.027913 0.000506
0.009372 0.027773 0.000490
0.009635 0.027373 0.000472
0.009898 0.027786 0.000460
0.010161 0.027916 0.000445
0.010424 0.028046 0.000439
0.010687 0.027474 0.000422
0.010949 0.027129 0.000414
0.011212 0.027319 0.000400
0.011475 0.027244 0.000389
0.011738 0.026719 0.000375
0.012001 0.026348 0.000363
0.012264 0.026774 0.000347
0.012527 0.027081 0.000338
0.012790 0.027631 0.000328
0.013053 0.026275 0.000319
0.013316 0.026714 0.000313
0.013579 0.026164 0.000307
0.013842 0.026207 0.000302
0.014105 0.026508 0.000297
0.014368 0.026313 0.000295
0.014631 0.025995 0.000288
0.014894 0.025901 0.000285
0.015157 0.025884 0.000282
0.015420 0.025367 0.000277
0.015683 0.025299 0.000275
0.015946 0.025280 0.000270
0.016209 0.025239 0.000267
0.016472 0.025639 0.000265
0.016735 0.025167 0.000262
0.016998 0.025005 0.000259
0.017327 0.024289 0.000208
0.017721 0.024424 0.000205
0.018116 0.024318 0.000203
0.018510 0.024302 0.000199
0.018905 0.023820 0.000197
0.019299 0.023608 0.000193
0.019693 0.023455 0.000191
0.020088 0.023242 0.000188
0.020482 0.023038 0.000186
0.020877 0.022777 0.000184
0.021271 0.022278 0.000181
0.021666 0.022544 0.000180
0.022060 0.022507 0.000177
0.022455 0.021921 0.000175
0.022849 0.021518 0.000173
0.023244 0.021602 0.000171
0.023638 0.021080 0.000170
0.024033 0.021114 0.000168
0.024427 0.020831 0.000165
0.024822 0.020872 0.000165
0.025282 0.020462 0.000141
0.025808 0.020077 0.000139
0.026334 0.019653 0.000137
0.026860 0.019548 0.000136
0.027386 0.018925 0.000133
0.027912 0.018693 0.000132
0.028438 0.018638 0.000130
0.028964 0.018043 0.000129
0.029489 0.017969 0.000127
0.030015 0.017619 0.000126
0.030541 0.017184 0.000125
0.031067 0.016917 0.000123
0.031593 0.016724 0.000122
0.032119 0.016545 0.000121
0.032645 0.015982 0.000119
0.033237 0.015664 0.000106
0.033894 0.015475 0.000107
0.034552 0.015147 0.000107
0.035209 0.014549 0.000108
0.035867 0.014245 0.000110
0.036524 0.013916 0.000111
0.037182 0.013647 0.000111
0.037839 0.013137 0.000112
0.038496 0.012796 0.000109
0.039154 0.012647 0.000107
0.039811 0.012216 0.000106
0.040535 0.011705 0.000096
0.041323 0.011610 0.000095
0.042112 0.011200 0.000094
0.042901 0.010742 0.000093
0.043690 0.010262 0.000092
0.044479 0.009872 0.000092
0.045268 0.009574 0.000091
0.046057 0.009303 0.000091
0.046846 0.008994 0.000093
0.047701 0.008579 0.000087
0.048621 0.008334 0.000088
0.049541 0.007891 0.000088
0.050462 0.007550 0.000089
0.051382 0.007265 0.000089
0.052303 0.006921 0.000089
0.053223 0.006561 0.000089
0.054144 0.006214 0.000089
0.055130 0.005868 0.000084
0.056182 0.005698 0.000084
0.057234 0.005200 0.000083
0.058286 0.004999 0.000083
0.059337 0.004710 0.000082
0.060389 0.004467 0.000081
0.061441 0.004144 0.000081
0.062559 0.003993 0.000076
0.063742 0.003611 0.000075
0.064926 0.003491 0.000075
0.066109 0.003173 0.000074
0.067292 0.002987 0.000074
0.068542 0.002868 0.000070
0.069857 0.002666 0.000069
0.071171 0.002441 0.000069
0.072486 0.002247 0.000068
0.073801 0.002057 0.000068
0.075116 0.002066 0.000068
0.076497 0.001894 0.000064
0.077943 0.001637 0.000064
0.079389 0.001677 0.000063
0.080836 0.001634 0.000063
0.082282 0.001549 0.000063
0.083794 0.001501 0.000060
0.085372 0.001327 0.000059
0.086950 0.001317 0.000059
0.088528 0.001375 0.000059
0.090172 0.001415 0.000056
0.091881 0.001422 0.000058
0.093590 0.001441 0.000057
0.095299 0.001388 0.000056
0.097075 0.001444 0.000053
0.098916 0.001469 0.000052
0.100756 0.001543 0.000052
0.102597 0.001570 0.000052
0.104504 0.001605 0.000050
0.106476 0.001742 0.000050
0.108448 0.001751 0.000053
0.110486 0.001776 0.000054
0.112590 0.001907 0.000052
0.114694 0.001846 0.000050
0.116798 0.001973 0.000049
0.118967 0.001977 0.000047
0.121203 0.002021 0.000046
0.123438 0.002028 0.000045
0.125739 0.002051 0.000044
0.128106 0.002100 0.000043
0.130539 0.002082 0.000042
0.133037 0.002143 0.000041
0.135535 0.002115 0.000041
0.138099 0.002136 0.000040
0.140729 0.002211 0.000039
0.143359 0.002045 0.000039
0.146054 0.002076 0.000038
0.148815 0.002147 0.000038
0.151642 0.002111 0.000036
0.154535 0.002036 0.000036
0.157428 0.002013 0.000036
0.160386 0.001946 0.000035
0.163411 0.001916 0.000035
0.166501 0.001850 0.000034
0.169656 0.001834 0.000033
0.172878 0.001764 0.000032
0.176165 0.001672 0.000032
0.179518 0.001608 0.000031
0.182937 0.001572 0.000034
0.186421 0.001487 0.000033
0.189971 0.001437 0.000031
0.193587 0.001361 0.000030
0.197269 0.001321 0.000029
0.201016 0.001236 0.000028
0.204830 0.001154 0.000028
0.208709 0.001091 0.000027
0.212719 0.001049 0.000027
0.216795 0.001009 0.000026
0.220937 0.000953 0.000026
0.225145 0.000898 0.000026
0.229418 0.000787 0.000025
0.233823 0.000812 0.000027
0.238293 0.000699 0.000027
0.242830 0.000716 0.000027
0.247498 0.000673 0.000027
0.252297 0.000626 0.000027
0.257162 0.000642 0.000031
0.262093 0.000606 0.000033
0.267155 0.000576 0.000035
0.272283 0.000562 0.000036
0.277477 0.000589 0.000038
0.282802 0.000519 0.000040
0.288259 0.000509 0.000042
0.293847 0.000456 0.000043
0.299567 0.000480 0.000045
0.305353 0.000479 0.000049
0.311204 0.000554 0.000053
0.317187 0.000387 0.000059
0.323301 0.000496 0.000068
0.329547 0.000461 0.000082
0.335924 0.000690 0.000119
0.339606 -0.000369 0.000452
