# q I_dat dI_dat
0.008517 0.020456 0.000829
0.008714 0.020457 0.000569
0.008977 0.020624 0.000554
0.009240 0.020808 0.000532
0.009503 0.021398 0.000514
0.009766 0.020431 0.000501
0.010029 0.020558 0.000485
0.010292 0.020214 0.000470
0.010555 0.021219 0.000457
0.010818 0.020703 0.000444
0.011081 0.020507 0.000437
0.011344 0.021246 0.000424
0.011607 0.020958 0.000411
0.011870 0.020141 0.000391
0.012133 0.020589 0.000378
0.012396 0.020473 0.000368
0.012659 0.020798 0.000355
0.012922 0.020502 0.000343
0.013185 0.020587 0.000335
0.013448 0.020079 0.000329
0.013711 0.020080 0.000327
0.013974 0.019379 0.000317
0.014237 0.020104 0.000313
0.014500 0.020056 0.000310
0.014763 0.019524 0.000304
0.015026 0.019414 0.000303
0.015289 0.019599 0.000296
0.015552 0.019445 0.000293
0.015815 0.019471 0.000291
0.016078 0.018893 0.000285
0.016341 0.019281 0.000283
0.016603 0.019103 0.000279
0.016866 0.019379 0.000278
0.017129 0.018328 0.000273
0.017392 0.018451 0.000271
0.017655 0.018512 0.000269
0.017984 0.018508 0.000216
0.018379 0.018345 0.000213
0.018773 0.018192 0.000210
0.019168 0.017796 0.000206
0.019562 0.017860 0.000205
0.019956 0.017469 0.000201
0.020351 0.017417 0.000199
0.020745 0.017047 0.000196
0.021140 0.016714 0.000194
0.021534 0.016810 0.000192
0.021929 0.016363 0.000189
0.022323 0.016391 0.000187
0.022718 0.015843 0.000185
0.023112 0.015829 0.000182
0.023507 0.015681 0.000181
0.023901 0.015420 0.000179
0.024296 0.015369 0.000177
0.024690 0.015070 0.000175
0.025085 0.014725 0.000173
0.025479 0.014647 0.000172
0.025939 0.014396 0.000147
0.026465 0.013883 0.000145
0.026991 0.013746 0.000143
0.027517 0.013418 0.000142
0.028043 0.013070 0.000139
0.028569 0.012721 0.000138
0.029095 0.012540 0.000137
0.029621 0.012502 0.000135
0.030147 0.012187 0.000133
0.030673 0.011586 0.000132
0.031199 0.011658 0.000131
0.031725 0.011177 0.000129
0.032251 0.011016 0.000128
0.032777 0.010717 0.000126
0.033303 0.010595 0.000126
0.033894 0.010059 0.000114
0.034552 0.009886 0.000114
0.035209 0.009434 0.000115
0.035867 0.009084 0.000117
0.036524 0.008838 0.000118
0.037182 0.008510 0.000118
0.037839 0.008177 0.000119
0.038496 0.007944 0.000117
0.039154 0.007811 0.000114
0.039811 0.007359 0.000113
0.040469 0.006979 0.000112
0.041192 0.006682 0.000101
0.041981 0.006429 0.000101
0.042770 0.006509 0.000100
0.043559 0.005937 0.000099
0.044348 0.005631 0.000098
0.045137 0.005346 0.000097
0.045926 0.005035 0.000097
0.046714 0.004734 0.000099
0.047503 0.004455 0.000100
0.048358 0.004278 0.000094
0.049279 0.004052 0.000095
0.050199 0.003804 0.000095
0.051119 0.003469 0.000095
0.052040 0.003152 0.000096
0.052960 0.003095 0.000096
0.053881 0.002807 0.000096
0.054801 0.002507 0.000096
0.055787 0.002476 0.000090
0.056839 0.002342 0.000090
0.057891 0.002004 0.000090
0.058943 0.001849 0.000089
0.059995 0.001762 0.000088
0.061047 0.001525 0.000088
0.062099 0.001451 0.000087
0.063216 0.001280 0.000082
0.064400 0.001200 0.000082
0.065583 0.001093 0.000081
0.066767 0.001064 0.000081
0.067950 0.000908 0.000080
0.069199 0.000882 0.000076
0.070514 0.000856 0.000075
0.071829 0.000716 0.000075
0.073144 0.000560 0.000074
0.074459 0.000692 0.000074
0.075773 0.000663 0.000074
0.077154 0.000701 0.000070
0.078601 0.000634 0.000070
