#Sample file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01893-01914_154_6_av.dat
#Buffer file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01761-01782_154_buffer_1_av.dat
#q(1/A)          Column          Error           
0.0026000000    -0.1543176439   0.0551108763    
0.0027314887    -0.1099768456   0.0444498847    
0.0028629774    -0.0915123700   0.0378394129    
0.0029944661    -0.0723022106   0.0326013583    
0.0031259548    -0.0512120717   0.0262340167    
0.0032574435    -0.0447460514   0.0254671072    
0.0033889322    -0.0426306044   0.0222432775    
0.0035204209    -0.0254549783   0.0229562988    
0.0036519096    -0.0259252894   0.0217660703    
0.0037833983    -0.0187159924   0.0186207759    
0.0039148870    -0.0143678941   0.0164919736    
0.0040463757    -0.0133230673   0.0144946233    
0.0041778644    -0.0087387592   0.0123909841    
0.0043093531    -0.0060331039   0.0112619969    
0.0044408418    -0.0026397632   0.0099409694    
0.0045723305    0.0015528987    0.0091606902    
0.0047038192    -0.0032073510   0.0084744275    
0.0048353079    -0.0016215991   0.0077036986    
0.0049667966    0.0018581664    0.0072960865    
0.0050982853    0.0025794973    0.0065085206    
0.0052297740    0.0039641074    0.0063431763    
0.0053612627    0.0034484731    0.0057952346    
0.0054927514    0.0081392803    0.0053795744    
0.0056242401    0.0082674329    0.0051126764    
0.0057557288    0.0080291224    0.0048613345    
0.0058872175    0.0110846109    0.0046125822    
0.0060187062    0.0101200559    0.0044611778    
0.0061501949    0.0088544134    0.0040897820    
0.0062816836    0.0115610173    0.0041092252    
0.0064131723    0.0105988287    0.0039086762    
0.0065446610    0.0128697621    0.0037570273    
0.0066761496    0.0135838384    0.0036695786    
0.0068076383    0.0125657423    0.0034866538    
0.0069391270    0.0123743339    0.0034686460    
0.0070706157    0.0131649952    0.0033507481    
0.0072021044    0.0123872201    0.0032390727    
0.0073335931    0.0146293814    0.0031922061    
0.0074650818    0.0130308917    0.0030326828    
0.0075965705    0.0142034990    0.0030120096    
0.0077280592    0.0135777822    0.0029532137    
0.0078595479    0.0130626140    0.0028270637    
0.0079910366    0.0136598911    0.0028120808    
0.0081225253    0.0136192303    0.0026799665    
0.0082540140    0.0132490727    0.0026720097    
0.0083855027    0.0145652495    0.0026557811    
0.0085169914    0.0147503906    0.0025716943    
0.0086484801    0.0142760525    0.0025133343    
0.0087799688    0.0144301165    0.0024683046    
0.0089114575    0.0146857074    0.0024515538    
0.0090429462    0.0139518402    0.0023935827    
0.0091744349    0.0165688478    0.0023531961    
0.0093059236    0.0141904006    0.0023045716    
0.0094374123    0.0150704070    0.0022748865    
0.0095689010    0.0156940794    0.0022120844    
0.0097003897    0.0148909495    0.0022150226    
0.0098318784    0.0149691042    0.0021643096    
0.0099633671    0.0142458947    0.0021227825    
0.0100948560    0.0146005606    0.0021062531    
0.0102263450    0.0148237471    0.0020348089    
0.0103578330    0.0151380954    0.0020782689    
0.0104893220    0.0153276596    0.0020026926    
0.0106208110    0.0154830066    0.0019757949    
0.0107522990    0.0148492742    0.0019563076    
0.0108837880    0.0152072314    0.0019147637    
0.0110152770    0.0152173888    0.0019433343    
0.0111467650    0.0153143805    0.0018757177    
0.0112782540    0.0151386482    0.0018503970    
0.0114097430    0.0141947565    0.0018208968    
0.0115412310    0.0156207256    0.0017913426    
0.0116727200    0.0147474011    0.0017832041    
0.0118042090    0.0146548282    0.0017011661    
0.0119356980    0.0137473483    0.0016915346    
0.0120671860    0.0146446528    0.0016710155    
0.0121986750    0.0149140190    0.0016075146    
0.0123301640    0.0147852347    0.0016114749    
