#Sample file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/02047-02068_196_3_av.dat
#Buffer file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01981-02002_196_buffer_1_av.dat
#q(1/A)          Column          Error           
0.0026000000    0.0201942361    0.0543814142    
0.0027314887    0.0377487736    0.0436716413    
0.0028629774    0.0301914597    0.0371225750    
0.0029944661    0.0197836056    0.0320178409    
0.0031259548    0.0236901549    0.0257656610    
0.0032574435    0.0294673796    0.0250526386    
0.0033889322    0.0307487460    0.0219998472    
0.0035204209    0.0197539646    0.0226660349    
0.0036519096    0.0204762687    0.0214700559    
0.0037833983    0.0250523520    0.0183795279    
0.0039148870    0.0221950570    0.0162306398    
0.0040463757    0.0205940058    0.0142619945    
0.0041778644    0.0194074126    0.0121975834    
0.0043093531    0.0236177996    0.0111012227    
0.0044408418    0.0248196917    0.0097684836    
0.0045723305    0.0250295138    0.0089931888    
0.0047038192    0.0270791242    0.0083626713    
0.0048353079    0.0238084521    0.0076122207    
0.0049667966    0.0223371272    0.0072016349    
0.0050982853    0.0244163177    0.0064011531    
0.0052297740    0.0222408568    0.0062452734    
0.0053612627    0.0234230205    0.0057271522    
0.0054927514    0.0219343618    0.0053123451    
0.0056242401    0.0224700953    0.0050657990    
0.0057557288    0.0206196138    0.0047965389    
0.0058872175    0.0243553851    0.0045445599    
0.0060187062    0.0218276220    0.0044136185    
0.0061501949    0.0235423773    0.0040559160    
0.0062816836    0.0223543661    0.0040731939    
0.0064131723    0.0230823330    0.0038710313    
0.0065446610    0.0231249570    0.0037331540    
0.0066761496    0.0230900638    0.0036398519    
0.0068076383    0.0224605387    0.0034635963    
0.0069391270    0.0208115336    0.0034484691    
0.0070706157    0.0217702677    0.0033517016    
0.0072021044    0.0226873129    0.0032324122    
0.0073335931    0.0207748572    0.0031712981    
0.0074650818    0.0210364083    0.0030307375    
0.0075965705    0.0207917001    0.0030034596    
0.0077280592    0.0218164191    0.0029524289    
0.0078595479    0.0200384553    0.0028245140    
0.0079910366    0.0216025850    0.0028135009    
0.0081225253    0.0214423525    0.0027008462    
0.0082540140    0.0202127327    0.0026702386    
0.0083855027    0.0214996316    0.0026759144    
0.0085169914    0.0200721148    0.0025786116    
0.0086484801    0.0207724271    0.0025258771    
0.0087799688    0.0205429018    0.0024507744    
0.0089114575    0.0203504643    0.0024501588    
0.0090429462    0.0205666626    0.0024007869    
0.0091744349    0.0201001663    0.0023653498    
0.0093059236    0.0198460583    0.0022984565    
0.0094374123    0.0202969693    0.0022761313    
0.0095689010    0.0199348901    0.0022110417    
0.0097003897    0.0197305951    0.0022271563    
0.0098318784    0.0206233018    0.0021645893    
0.0099633671    0.0208054791    0.0021304586    
0.0100948560    0.0201681100    0.0021121172    
0.0102263450    0.0199116824    0.0020344572    
0.0103578330    0.0201143310    0.0020971793    
0.0104893220    0.0197592970    0.0020178735    
0.0106208110    0.0197318316    0.0019936896    
0.0107522990    0.0193975754    0.0019704664    
0.0108837880    0.0193771181    0.0019227384    
0.0110152770    0.0193246859    0.0019500852    
0.0111467650    0.0202995588    0.0018843089    
0.0112782540    0.0194519784    0.0018573993    
0.0114097430    0.0191227960    0.0018345175    
0.0115412310    0.0189859391    0.0017893190    
0.0116727200    0.0190291505    0.0017905079    
0.0118042090    0.0195984919    0.0017095848    
0.0119356980    0.0185172240    0.0016917656    
0.0120671860    0.0193784222    0.0016816379    
0.0121986750    0.0190289700    0.0016206632    
0.0123301640    0.0190947964    0.0016081579    
0.0124616520    0.0191409609    0.0015963149    
0.0125931410    0.0182441913    0.0015451233    
0.0127246300    0.0193339668    0.0015468262    
0.0128561180    0.0187876380    0.0014926682    
0.0129876070    0.0180749153    0.0015059358    
0.0131190960    0.0192259949    0.0014668820    
0.0132505850    0.0182465363    0.0014423339    
0.0133820730    0.0185508511    0.0014500098    
0.0135135620    0.0188382418    0.0014201442    
0.0136450510    0.0187163159    0.0014287225    
0.0137765390    0.0179950994    0.0014166929    
0.0139080280    0.0183630321    0.0013839286    
0.0140395170    0.0184258834    0.0013832359    
0.0141710050    0.0177102832    0.0013670075    
0.0143024940    0.0182762125    0.0013684208    
0.0144339830    0.0181988949    0.0013694531    
0.0145654720    0.0179532037    0.0013384871    
0.0146969600    0.0180303634    0.0013398735    
0.0148284490    0.0171147292    0.0013147987    
0.0149599380    0.0182271473    0.0013212545    
0.0150914260    0.0179897752    0.0013236418    
0.0152229150    0.0177915120    0.0012880429    
0.0153544040    0.0180875222    0.0012961459    
0.0154858920    0.0180126077    0.0012748664    
0.0156173810    0.0175641705    0.0012800050    
0.0157488700    0.0175036977    0.0012764942    
0.0158803590    0.0174266053    0.0012564641    
0.0160118470    0.0173277887    0.0012538602    
0.0161433360    0.0170992215    0.0012381946    
0.0162748250    0.0167922781    0.0012372340    
0.0164063130    0.0168576589    0.0012259735    
0.0165378020    0.0171752640    0.0012175219    
0.0166692910    0.0170734738    0.0012154405    
0.0168007790    0.0172601651    0.0012126962    
0.0169322680    0.0173575496    0.0012094274    
0.0170637570    0.0167528764    0.0012024104    
0.0171952460    0.0166471140    0.0011863001    
0.0173267340    0.0174755299    0.0011926425    
0.0174582230    0.0164559914    0.0011781206    
0.0175897120    0.0158494405    0.0011685000    
0.0177212000    0.0162193969    0.0011745061    
0.0178526890    0.0160176817    0.0011499818    
0.0179841780    0.0163685103    0.0011545692    
0.0181156660    0.0168900149    0.0011530353    
0.0182471550    0.0162556505    0.0011413907    
0.0183786440    0.0162565205    0.0011458545    
0.0185101330    0.0160787072    0.0011318706    
0.0186416210    0.0165517767    0.0011302739    
0.0187731100    0.0160121184    0.0011154901    
0.0189045990    0.0159243401    0.0011196355    
0.0190360870    0.0156911430    0.0011128985    
0.0191675760    0.0157273294    0.0011019865    
0.0192990650    0.0156656369    0.0010976827    
