#Sample file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01783-01804_154_1_av.dat
#Buffer file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01761-01782_154_buffer_1_av.dat
#q(1/A)          Column          Error           
0.0185101330    0.0222895060    0.0011896264    
0.0186416210    0.0223150231    0.0011873629    
0.0187731100    0.0220466795    0.0011841233    
0.0189045990    0.0215277766    0.0011785708    
0.0190360870    0.0223807259    0.0011740531    
0.0191675760    0.0222093548    0.0011653771    
0.0192990650    0.0220744472    0.0011553169    
0.0194305530    0.0216807120    0.0011617232    
0.0195620420    0.0217527488    0.0011481230    
0.0196935310    0.0215006982    0.0011489171    
0.0198250190    0.0211131242    0.0011362773    
0.0199565080    0.0220020690    0.0011310490    
0.0200879970    0.0209433048    0.0011342354    
0.0202194860    0.0214758019    0.0011229270    
0.0203509740    0.0211408279    0.0011289250    
0.0204824630    0.0213823590    0.0011104542    
0.0206139520    0.0207139315    0.0011058999    
0.0207454400    0.0211392696    0.0011115338    
0.0208769290    0.0212496952    0.0010999119    
0.0210084180    0.0207159317    0.0010999202    
0.0211399060    0.0208912486    0.0010962261    
0.0212713950    0.0204152327    0.0010841909    
0.0214028840    0.0202315221    0.0010834927    
0.0215343730    0.0205410336    0.0010800279    
0.0216658610    0.0205543405    0.0010764505    
0.0217973500    0.0203101135    0.0010754001    
0.0219288390    0.0201595454    0.0010551430    
0.0220603270    0.0204648589    0.0010692996    
0.0221918160    0.0198637041    0.0010508509    
0.0223233050    0.0204675956    0.0010574486    
0.0224547930    0.0200397078    0.0010488334    
0.0225862820    0.0197987444    0.0010402550    
0.0227177710    0.0196281729    0.0010467564    
0.0228492600    0.0199067464    0.0010357126    
0.0229807480    0.0197236430    0.0010375161    
0.0231122370    0.0191223289    0.0010249067    
0.0232437260    0.0199756609    0.0010210500    
0.0233752140    0.0193700160    0.0010260647    
0.0235067030    0.0189052781    0.0010162194    
0.0236381920    0.0194191022    0.0010160974    
0.0237696800    0.0192856941    0.0010158517    
0.0239011690    0.0188123293    0.0010060157    
0.0240326580    0.0194162506    0.0010112516    
0.0241641470    0.0190132751    0.0009996275    
0.0242956350    0.0188154263    0.0009946912    
0.0244271240    0.0189872793    0.0009917270    
0.0245586130    0.0185351872    0.0009825657    
0.0246901010    0.0188538482    0.0009966110    
0.0248215900    0.0184228906    0.0009821679    
0.0249530790    0.0186213235    0.0009774018    
0.0250845670    0.0185332243    0.0009775463    
0.0252160560    0.0182372855    0.0009679176    
0.0253475450    0.0181078432    0.0009754047    
0.0254790340    0.0186447931    0.0009688296    
0.0256105220    0.0181831505    0.0009577185    
