#Sample file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01937-01958_154_8_av.dat
#Buffer file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01761-01782_154_buffer_1_av.dat
#q(1/A)          Column          Error           
0.0026000000    -0.1503838050   0.0550840750    
0.0027314887    -0.1090348114   0.0444174405    
0.0028629774    -0.0710907557   0.0379210775    
0.0029944661    -0.0570588550   0.0326646413    
0.0031259548    -0.0469743436   0.0262381298    
0.0032574435    -0.0262154189   0.0255732765    
0.0033889322    -0.0264448155   0.0223389086    
0.0035204209    -0.0027010736   0.0230547903    
0.0036519096    -0.0024885807   0.0218579575    
0.0037833983    0.0051657994    0.0187218807    
0.0039148870    0.0019796749    0.0165620663    
0.0040463757    0.0034171134    0.0145730334    
0.0041778644    0.0136371361    0.0125048393    
0.0043093531    0.0080178064    0.0113353657    
0.0044408418    0.0096572711    0.0100084723    
0.0045723305    0.0130640106    0.0092300436    
0.0047038192    0.0125523447    0.0085718285    
0.0048353079    0.0157002694    0.0078160418    
0.0049667966    0.0149523682    0.0073840882    
0.0050982853    0.0182885504    0.0066165745    
0.0052297740    0.0183076342    0.0064468170    
0.0053612627    0.0210824996    0.0059269595    
0.0054927514    0.0231788634    0.0054939744    
0.0056242401    0.0224418492    0.0052255645    
0.0057557288    0.0227087606    0.0049778416    
0.0058872175    0.0245241408    0.0047219193    
0.0060187062    0.0235004920    0.0045732732    
0.0061501949    0.0249145654    0.0042249595    
0.0062816836    0.0237262876    0.0042154166    
0.0064131723    0.0234460362    0.0040220447    
0.0065446610    0.0251163922    0.0038659546    
0.0066761496    0.0263678733    0.0037852929    
0.0068076383    0.0261793843    0.0036104788    
0.0069391270    0.0275760030    0.0036120185    
0.0070706157    0.0273520148    0.0034852630    
0.0072021044    0.0284140269    0.0033922088    
0.0073335931    0.0261626253    0.0033029221    
0.0074650818    0.0261621669    0.0031575570    
0.0075965705    0.0273167930    0.0031404207    
0.0077280592    0.0258632173    0.0030741828    
0.0078595479    0.0283787932    0.0029767475    
0.0079910366    0.0269856519    0.0029450076    
0.0081225253    0.0273595093    0.0028157768    
0.0082540140    0.0281043371    0.0028205672    
0.0083855027    0.0282019731    0.0027939874    
0.0085169914    0.0266189065    0.0026904311    
0.0086484801    0.0270904216    0.0026425934    
0.0087799688    0.0268615378    0.0025915835    
0.0089114575    0.0279625452    0.0025856912    
0.0090429462    0.0271481679    0.0025281921    
0.0091744349    0.0286785696    0.0024766489    
0.0093059236    0.0274556528    0.0024392837    
0.0094374123    0.0280894490    0.0024067392    
0.0095689010    0.0276063116    0.0023315446    
0.0097003897    0.0271404306    0.0023398003    
0.0098318784    0.0280074122    0.0022960923    
0.0099633671    0.0275640589    0.0022564742    
0.0100948560    0.0269288929    0.0022305461    
0.0102263450    0.0289025718    0.0021748984    
0.0103578330    0.0279489515    0.0022092851    
0.0104893220    0.0281438960    0.0021310742    
0.0106208110    0.0272747850    0.0020932581    
0.0107522990    0.0276725335    0.0020842122    
0.0108837880    0.0270720507    0.0020308523    
0.0110152770    0.0271860324    0.0020632809    
0.0111467650    0.0272540870    0.0019922206    
0.0112782540    0.0273830435    0.0019703141    
0.0114097430    0.0276484902    0.0019511602    
0.0115412310    0.0268388138    0.0018990529    
0.0116727200    0.0268537723    0.0018995773    
0.0118042090    0.0265852812    0.0018128115    
0.0119356980    0.0259790083    0.0018061894    
0.0120671860    0.0267178036    0.0017843216    
0.0121986750    0.0269310769    0.0017171789    
0.0123301640    0.0266168383    0.0017194473    
0.0124616520    0.0268230658    0.0016920226    
0.0125931410    0.0273397723    0.0016534144    
0.0127246300    0.0281138275    0.0016515871    
0.0128561180    0.0271484540    0.0015889349    
0.0129876070    0.0262356012    0.0015986183    
0.0131190960    0.0263140756    0.0015603970    
0.0132505850    0.0266260133    0.0015456224    
0.0133820730    0.0268015819    0.0015483739    
0.0135135620    0.0263425417    0.0015131223    
0.0136450510    0.0259857104    0.0015238374    
0.0137765390    0.0262686561    0.0015093350    
0.0139080280    0.0261448728    0.0014795207    
0.0140395170    0.0261168310    0.0014771783    
0.0141710050    0.0268982634    0.0014600888    
0.0143024940    0.0266881207    0.0014604180    
0.0144339830    0.0259375494    0.0014562045    
0.0145654720    0.0262988844    0.0014232364    
0.0146969600    0.0256905775    0.0014268761    
0.0148284490    0.0260238467    0.0014059661    
0.0149599380    0.0257774551    0.0014104745    
0.0150914260    0.0261804600    0.0014181060    
0.0152229150    0.0255871362    0.0013687066    
0.0153544040    0.0251497505    0.0013805435    
0.0154858920    0.0255835587    0.0013606270    
0.0156173810    0.0255005305    0.0013614485    
0.0157488700    0.0250967421    0.0013617253    
0.0158803590    0.0252913150    0.0013375618    
0.0160118470    0.0252687535    0.0013376011    
0.0161433360    0.0255541249    0.0013218427    
0.0162748250    0.0249238798    0.0013178386    
0.0164063130    0.0256168886    0.0013165051    
0.0165378020    0.0256618858    0.0013016249    
0.0166692910    0.0252830046    0.0012975851    
0.0168007790    0.0250515229    0.0012927525    
0.0169322680    0.0251595588    0.0012842949    
0.0170637570    0.0248494491    0.0012801428    
0.0171952460    0.0240935296    0.0012655838    
0.0173267340    0.0244117081    0.0012667200    
0.0174582230    0.0243609246    0.0012547802    
0.0175897120    0.0244264395    0.0012475979    
0.0177212000    0.0245171578    0.0012535364    
0.0178526890    0.0243267695    0.0012241657    
0.0179841780    0.0243063370    0.0012414169    
0.0181156660    0.0246227319    0.0012314571    
0.0182471550    0.0240240316    0.0012189767    
0.0183786440    0.0241909774    0.0012184983    
0.0185101330    0.0242507098    0.0012033343    
0.0186416210    0.0244649496    0.0012024298    
0.0187731100    0.0238121985    0.0011965316    
0.0189045990    0.0237641772    0.0011946889    
0.0190360870    0.0238848591    0.0011843774    
0.0191675760    0.0237151714    0.0011761257    
0.0192990650    0.0238084684    0.0011668993    
0.0194305530    0.0233010285    0.0011728701    
0.0195620420    0.0232065201    0.0011580567    
0.0196935310    0.0238819679    0.0011652167    
0.0198250190    0.0232762931    0.0011512029    
0.0199565080    0.0231530758    0.0011385309    
0.0200879970    0.0231937767    0.0011499028    
0.0202194860    0.0233801833    0.0011361326    
0.0203509740    0.0232933059    0.0011438054    
0.0204824630    0.0231780884    0.0011225507    
0.0206139520    0.0226433994    0.0011187673    
0.0207454400    0.0226537150    0.0011215670    
0.0208769290    0.0229392184    0.0011115682    
