#Sample file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/02069-02090_196_4_av.dat
#Buffer file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01981-02002_196_buffer_1_av.dat
#q(1/A)          Column          Error           
0.0026000000    0.0649655611    0.0546542107    
0.0027314887    0.0727730889    0.0438951634    
0.0028629774    0.0617257722    0.0373344401    
0.0029944661    0.0597399500    0.0322880528    
0.0031259548    0.0514119828    0.0259646690    
0.0032574435    0.0597491278    0.0252868823    
0.0033889322    0.0476843083    0.0221402760    
0.0035204209    0.0478593722    0.0228334742    
0.0036519096    0.0432789056    0.0215978325    
0.0037833983    0.0500551989    0.0185196145    
0.0039148870    0.0466454922    0.0163726056    
0.0040463757    0.0438685433    0.0144024953    
0.0041778644    0.0459882944    0.0123581530    
0.0043093531    0.0376314089    0.0111949687    
0.0044408418    0.0457984789    0.0099087714    
0.0045723305    0.0437045489    0.0091284349    
0.0047038192    0.0456082139    0.0084944683    
0.0048353079    0.0434263300    0.0077550787    
0.0049667966    0.0420441267    0.0073513518    
0.0050982853    0.0440281572    0.0065507074    
0.0052297740    0.0420956850    0.0064038480    
0.0053612627    0.0411468411    0.0058712143    
0.0054927514    0.0414899794    0.0054732063    
0.0056242401    0.0389066433    0.0052073737    
0.0057557288    0.0408144083    0.0049681899    
0.0058872175    0.0428345983    0.0047060880    
0.0060187062    0.0395241028    0.0045720042    
0.0061501949    0.0412196829    0.0042132709    
0.0062816836    0.0393861197    0.0042311122    
0.0064131723    0.0411805446    0.0040397890    
0.0065446610    0.0394238563    0.0038866350    
0.0066761496    0.0395821464    0.0037972969    
0.0068076383    0.0391989136    0.0036233655    
0.0069391270    0.0384745044    0.0036224615    
0.0070706157    0.0383657323    0.0035150831    
0.0072021044    0.0404946919    0.0034088465    
0.0073335931    0.0387438279    0.0033508882    
0.0074650818    0.0378173965    0.0031967726    
0.0075965705    0.0381164069    0.0031785171    
0.0077280592    0.0383307644    0.0031211143    
0.0078595479    0.0372065299    0.0029979564    
0.0079910366    0.0380022364    0.0029821368    
0.0081225253    0.0374329061    0.0028624537    
