#Sample file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/02003-02024_196_1_av.dat
#Buffer file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01981-02002_196_buffer_1_av.dat
#q(1/A)          Column          Error           
0.0026000000    0.0174226670    0.0544895756    
0.0027314887    0.0304411376    0.0437314427    
0.0028629774    0.0139786928    0.0371136404    
0.0029944661    0.0249845379    0.0321217645    
0.0031259548    0.0206034985    0.0258041897    
0.0032574435    0.0288504713    0.0251052917    
0.0033889322    0.0228131043    0.0219930057    
0.0035204209    0.0147158039    0.0226905769    
0.0036519096    0.0242339000    0.0215365823    
0.0037833983    0.0219415807    0.0184056873    
0.0039148870    0.0262082998    0.0162885738    
0.0040463757    0.0258135998    0.0143232873    
0.0041778644    0.0253065924    0.0122588891    
0.0043093531    0.0245819095    0.0111324960    
0.0044408418    0.0257559440    0.0097969618    
0.0045723305    0.0250635512    0.0090142966    
0.0047038192    0.0258052914    0.0083735489    
0.0048353079    0.0245924333    0.0076354874    
0.0049667966    0.0237629266    0.0072289642    
0.0050982853    0.0255306066    0.0064245979    
0.0052297740    0.0271616232    0.0062983824    
0.0053612627    0.0247875046    0.0057516743    
0.0054927514    0.0250000208    0.0053498652    
0.0056242401    0.0230073884    0.0050825211    
0.0057557288    0.0236042527    0.0048331716    
0.0058872175    0.0259820921    0.0045697678    
0.0060187062    0.0251139442    0.0044534976    
0.0061501949    0.0243087538    0.0040728949    
0.0062816836    0.0250460006    0.0041080316    
0.0064131723    0.0247363044    0.0038959871    
0.0065446610    0.0260447064    0.0037698696    
0.0066761496    0.0254029331    0.0036710681    
0.0068076383    0.0242599034    0.0034895917    
0.0069391270    0.0243015848    0.0034913501    
0.0070706157    0.0240374076    0.0033825676    
0.0072021044    0.0251631405    0.0032652421    
0.0073335931    0.0232215979    0.0032035954    
0.0074650818    0.0235104348    0.0030632068    
0.0075965705    0.0226661019    0.0030304807    
0.0077280592    0.0249163404    0.0029922968    
0.0078595479    0.0230222862    0.0028621186    
0.0079910366    0.0242779139    0.0028483936    
0.0081225253    0.0230603779    0.0027242636    
0.0082540140    0.0239434904    0.0027161321    
0.0083855027    0.0230789258    0.0026998700    
0.0085169914    0.0231274810    0.0026166816    
0.0086484801    0.0225907822    0.0025519329    
0.0087799688    0.0236044963    0.0024888026    
0.0089114575    0.0236182326    0.0024913992    
0.0090429462    0.0239209010    0.0024428068    
0.0091744349    0.0225974644    0.0023974498    
0.0093059236    0.0231443396    0.0023396261    
0.0094374123    0.0237874704    0.0023191249    
0.0095689010    0.0236877006    0.0022564045    
0.0097003897    0.0230054647    0.0022671520    
0.0098318784    0.0242611952    0.0022085920    
0.0099633671    0.0236771937    0.0021663073    
0.0100948560    0.0231974106    0.0021495352    
0.0102263450    0.0230158450    0.0020711208    
0.0103578330    0.0236226006    0.0021400581    
0.0104893220    0.0224749309    0.0020509063    
0.0106208110    0.0226438450    0.0020288511    
0.0107522990    0.0226124037    0.0020098861    
0.0108837880    0.0226543057    0.0019614796    
0.0110152770    0.0230650865    0.0019941945    
0.0111467650    0.0223269534    0.0019099697    
0.0112782540    0.0231551543    0.0018997025    
0.0114097430    0.0225449713    0.0018738497    
0.0115412310    0.0233135000    0.0018381592    
0.0116727200    0.0227040167    0.0018324415    
0.0118042090    0.0226986094    0.0017438350    
0.0119356980    0.0224434566    0.0017347300    
0.0120671860    0.0226568899    0.0017185493    
