#Sample file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01827-01848_154_3_av.dat
#Buffer file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01761-01782_154_buffer_1_av.dat
#q(1/A)          Column          Error           
0.0026000000    -0.1136941414   0.0553756330    
0.0027314887    -0.0663120400   0.0447279771    
0.0028629774    -0.0587560882   0.0380656818    
0.0029944661    -0.0276284914   0.0329056377    
0.0031259548    -0.0169539982   0.0264789336    
0.0032574435    -0.0122733998   0.0257210571    
0.0033889322    -0.0060881055   0.0225272910    
0.0035204209    0.0063231095    0.0231482671    
0.0036519096    0.0060841050    0.0219425614    
0.0037833983    0.0071064324    0.0187691864    
0.0039148870    0.0150887420    0.0166631313    
0.0040463757    0.0188716796    0.0146862493    
0.0041778644    0.0201109634    0.0125663245    
0.0043093531    0.0215988723    0.0114384988    
0.0044408418    0.0248314817    0.0101226178    
0.0045723305    0.0282772715    0.0093507682    
0.0047038192    0.0278835749    0.0086904456    
0.0048353079    0.0309519592    0.0079361304    
0.0049667966    0.0324832498    0.0075247166    
0.0050982853    0.0315042899    0.0067250907    
0.0052297740    0.0317016221    0.0065615164    
0.0053612627    0.0336449730    0.0060356303    
0.0054927514    0.0371935265    0.0056150676    
0.0056242401    0.0374588076    0.0053591609    
0.0057557288    0.0365601862    0.0051006079    
0.0058872175    0.0374483242    0.0048393838    
0.0060187062    0.0390050929    0.0047149223    
0.0061501949    0.0380378326    0.0043451455    
0.0062816836    0.0388061995    0.0043577758    
0.0064131723    0.0394618308    0.0041730773    
0.0065446610    0.0411080430    0.0040180649    
0.0066761496    0.0391359241    0.0039100540    
0.0068076383    0.0404671215    0.0037484302    
0.0069391270    0.0401961402    0.0037388035    
0.0070706157    0.0416382740    0.0036274849    
0.0072021044    0.0422610188    0.0035310329    
0.0073335931    0.0415301544    0.0034577370    
0.0074650818    0.0409901639    0.0033049277    
0.0075965705    0.0412205316    0.0032818948    
0.0077280592    0.0425195662    0.0032435896    
0.0078595479    0.0413922986    0.0031092439    
0.0079910366    0.0415259207    0.0030944218    
0.0081225253    0.0413470113    0.0029577844    
0.0082540140    0.0407628022    0.0029515232    
0.0083855027    0.0418697315    0.0029365988    
0.0085169914    0.0411626811    0.0028404335    
0.0086484801    0.0418972237    0.0027957215    
0.0087799688    0.0411868296    0.0027373330    
0.0089114575    0.0417899461    0.0027286336    
0.0090429462    0.0421269099    0.0026830510    
0.0091744349    0.0424044331    0.0026193764    
0.0093059236    0.0405033799    0.0025742189    
0.0094374123    0.0416152365    0.0025461690    
0.0095689010    0.0420602539    0.0024799313    
0.0097003897    0.0413898243    0.0024875112    
0.0098318784    0.0410296897    0.0024305944    
0.0099633671    0.0410651859    0.0023948304    
