#Sample file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01805-01826_154_2_av.dat
#Buffer file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01761-01782_154_buffer_1_av.dat
#q(1/A)          Column          Error           
0.0026000000    -0.0875879079   0.0554607547    
0.0027314887    -0.0546544018   0.0447522252    
0.0028629774    -0.0354347435   0.0381649364    
0.0029944661    -0.0157225168   0.0329495599    
0.0031259548    -0.0048852947   0.0265325949    
0.0032574435    0.0096008001    0.0258502930    
0.0033889322    0.0119689448    0.0226354220    
0.0035204209    0.0136231638    0.0231669576    
0.0036519096    0.0167620079    0.0219746931    
0.0037833983    0.0137922880    0.0187863597    
0.0039148870    0.0167657291    0.0166578628    
0.0040463757    0.0214988264    0.0146881387    
0.0041778644    0.0256638296    0.0125864956    
0.0043093531    0.0321877494    0.0114907962    
0.0044408418    0.0332931193    0.0101657644    
0.0045723305    0.0318858920    0.0093666702    
0.0047038192    0.0351646931    0.0087304882    
0.0048353079    0.0378690641    0.0079758036    
0.0049667966    0.0371544131    0.0075510830    
0.0050982853    0.0382066302    0.0067665932    
0.0052297740    0.0388952723    0.0066092243    
0.0053612627    0.0386691522    0.0060681495    
0.0054927514    0.0421410805    0.0056479944    
0.0056242401    0.0441244176    0.0054075030    
0.0057557288    0.0426405559    0.0051441565    
0.0058872175    0.0433091303    0.0048826345    
0.0060187062    0.0443497458    0.0047549057    
0.0061501949    0.0436056069    0.0043870781    
0.0062816836    0.0443563734    0.0044015741    
0.0064131723    0.0438024547    0.0042066976    
0.0065446610    0.0452065308    0.0040499674    
0.0066761496    0.0433534073    0.0039437668    
0.0068076383    0.0449008823    0.0037842107    
0.0069391270    0.0447058130    0.0037764354    
0.0070706157    0.0450626521    0.0036550215    
0.0072021044    0.0441603062    0.0035448621    
0.0073335931    0.0442657570    0.0034796049    
0.0074650818    0.0447359903    0.0033360589    
0.0075965705    0.0444755352    0.0033090323    
0.0077280592    0.0460652868    0.0032734623    
0.0078595479    0.0447054965    0.0031370425    
0.0079910366    0.0459841989    0.0031338470    
0.0081225253    0.0461429594    0.0029997637    
0.0082540140    0.0444231195    0.0029832633    
0.0083855027    0.0463778043    0.0029769516    
0.0085169914    0.0452999704    0.0028769307    
0.0086484801    0.0451665059    0.0028237696    
0.0087799688    0.0438060866    0.0027594417    
0.0089114575    0.0448713193    0.0027551437    
0.0090429462    0.0452010992    0.0027097375    
0.0091744349    0.0458458201    0.0026498789    
0.0093059236    0.0442679946    0.0026075947    
0.0094374123    0.0444679842    0.0025709546    
0.0095689010    0.0437679556    0.0024934173    
0.0097003897    0.0436339394    0.0025063908    
0.0098318784    0.0431352041    0.0024481527    
0.0099633671    0.0434195325    0.0024148070    
0.0100948560    0.0431165698    0.0023926611    
0.0102263450    0.0436866001    0.0023197636    
0.0103578330    0.0441766441    0.0023733691    
0.0104893220    0.0439932550    0.0022875442    
