#Sample file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01849-01870_154_4_av.dat
#Buffer file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01761-01782_154_buffer_1_av.dat
#q(1/A)          Column          Error           
0.0026000000    -0.1057420502   0.0552622364    
0.0027314887    -0.0791575138   0.0445374902    
0.0028629774    -0.0562765390   0.0379741357    
0.0029944661    -0.0323828526   0.0327857402    
0.0031259548    -0.0220379348   0.0263733716    
0.0032574435    -0.0037862351   0.0257072053    
0.0033889322    -0.0049753553   0.0224718692    
0.0035204209    0.0052134145    0.0230771799    
0.0036519096    0.0117555169    0.0219071971    
0.0037833983    0.0102129920    0.0187312821    
0.0039148870    0.0146274858    0.0166134377    
0.0040463757    0.0170924353    0.0146348007    
0.0041778644    0.0181570311    0.0125195595    
0.0043093531    0.0147397752    0.0113655187    
0.0044408418    0.0211970111    0.0100710978    
0.0045723305    0.0241582310    0.0092961819    
0.0047038192    0.0216970304    0.0086246373    
0.0048353079    0.0295007632    0.0079028753    
0.0049667966    0.0275241930    0.0074673095    
0.0050982853    0.0286624504    0.0066848302    
0.0052297740    0.0304401806    0.0065323574    
0.0053612627    0.0300031037    0.0059897415    
0.0054927514    0.0341501189    0.0055743122    
0.0056242401    0.0345666987    0.0053192490    
0.0057557288    0.0352374187    0.0050740635    
0.0058872175    0.0357565234    0.0048102664    
0.0060187062    0.0348494518    0.0046651107    
0.0061501949    0.0363752859    0.0043173212    
0.0062816836    0.0353813192    0.0043139938    
0.0064131723    0.0340750757    0.0041126064    
0.0065446610    0.0368447853    0.0039672389    
0.0066761496    0.0382563967    0.0038891907    
0.0068076383    0.0382938829    0.0037166576    
0.0069391270    0.0372612480    0.0036993015    
0.0070706157    0.0377733591    0.0035795287    
0.0072021044    0.0381356167    0.0034806492    
0.0073335931    0.0378338248    0.0034113408    
0.0074650818    0.0365596359    0.0032526329    
0.0075965705    0.0379316231    0.0032394589    
0.0077280592    0.0378905370    0.0031882255    
0.0078595479    0.0368028003    0.0030549938    
0.0079910366    0.0386944941    0.0030564269    
0.0081225253    0.0376084081    0.0029120460    
0.0082540140    0.0380926397    0.0029154309    
0.0083855027    0.0386989309    0.0028953693    
0.0085169914    0.0372922793    0.0027927859    
0.0086484801    0.0380393412    0.0027483110    
0.0087799688    0.0369546856    0.0026873311    
0.0089114575    0.0380865965    0.0026831358    
0.0090429462    0.0371474375    0.0026251029    
0.0091744349    0.0393306392    0.0025800761    
0.0093059236    0.0378975721    0.0025396866    
0.0094374123    0.0377177576    0.0024992985    
0.0095689010    0.0384713084    0.0024366400    
0.0097003897    0.0384618231    0.0024498881    
0.0098318784    0.0380728519    0.0023932369    
0.0099633671    0.0372366867    0.0023493388    
0.0100948560    0.0371213961    0.0023291112    
0.0102263450    0.0370012142    0.0022505726    
0.0103578330    0.0371092554    0.0022987664    
0.0104893220    0.0372451343    0.0022177709    
0.0106208110    0.0371736681    0.0021876286    
0.0107522990    0.0370932130    0.0021743634    
0.0108837880    0.0371219161    0.0021249491    
0.0110152770    0.0367270562    0.0021540217    
0.0111467650    0.0363037859    0.0020760597    
0.0112782540    0.0364363560    0.0020544504    
0.0114097430    0.0365136207    0.0020332673    
0.0115412310    0.0366448301    0.0019887021    
0.0116727200    0.0362350480    0.0019859823    
0.0118042090    0.0361275072    0.0018980809    
0.0119356980    0.0355080109    0.0018913217    
0.0120671860    0.0361374944    0.0018685611    
0.0121986750    0.0365534974    0.0018003350    
0.0123301640    0.0358656216    0.0017998302    
0.0124616520    0.0359650602    0.0017708642    
0.0125931410    0.0363092272    0.0017286566    
0.0127246300    0.0365310531    0.0017227910    
0.0128561180    0.0358943797    0.0016608716    
0.0129876070    0.0358075790    0.0016785269    
0.0131190960    0.0361239731    0.0016409277    
0.0132505850    0.0353910324    0.0016164019    
0.0133820730    0.0355091151    0.0016191622    
0.0135135620    0.0351519248    0.0015837207    
0.0136450510    0.0349147246    0.0015960948    
0.0137765390    0.0349001231    0.0015797714    
0.0139080280    0.0346507990    0.0015477499    
0.0140395170    0.0339238533    0.0015390370    
0.0141710050    0.0354463974    0.0015275581    
0.0143024940    0.0345652353    0.0015224518    
0.0144339830    0.0345353932    0.0015247129    
0.0145654720    0.0346881535    0.0014887568    
0.0146969600    0.0343086329    0.0014947457    
0.0148284490    0.0343266297    0.0014704204    
0.0149599380    0.0338063103    0.0014728207    
0.0150914260    0.0334185594    0.0014742400    
0.0152229150    0.0337457190    0.0014315365    
0.0153544040    0.0334533637    0.0014443660    
0.0154858920    0.0338488306    0.0014232826    
0.0156173810    0.0338385103    0.0014252623    
0.0157488700    0.0332531805    0.0014239505    
0.0158803590    0.0333790628    0.0013983878    
0.0160118470    0.0334524914    0.0013999024    
0.0161433360    0.0338718850    0.0013840994    
0.0162748250    0.0336376962    0.0013837917    
0.0164063130    0.0328768662    0.0013706971    
0.0165378020    0.0328705991    0.0013550894    
