# rebinned data
# q            I            dI          
  7.85955e-03  2.83788e-02  2.97675e-03 
  8.05678e-03  2.71726e-02  2.03726e-03 
  8.31976e-03  2.81532e-02  1.98507e-03 
  8.58274e-03  2.68547e-02  1.88558e-03 
  8.84571e-03  2.74120e-02  1.83044e-03 
  9.10869e-03  2.79134e-02  1.76957e-03 
  9.37167e-03  2.77726e-02  1.71337e-03 
  9.63465e-03  2.73734e-02  1.65157e-03 
  9.89762e-03  2.77857e-02  1.60964e-03 
  1.01606e-02  2.79157e-02  1.55768e-03 
  1.04236e-02  2.80464e-02  1.53480e-03 
  1.06866e-02  2.74737e-02  1.47696e-03 
  1.09495e-02  2.71290e-02  1.44754e-03 
  1.12125e-02  2.73186e-02  1.40099e-03 
  1.14755e-02  2.72437e-02  1.36138e-03 
  1.17385e-02  2.67195e-02  1.31289e-03 
  1.20014e-02  2.63484e-02  1.26946e-03 
  1.22644e-02  2.67740e-02  1.21503e-03 
  1.25274e-02  2.70814e-02  1.18287e-03 
  1.27904e-02  2.76311e-02  1.14591e-03 
  1.30534e-02  2.62748e-02  1.11696e-03 
  1.33163e-02  2.67138e-02  1.09389e-03 
  1.35793e-02  2.61641e-02  1.07373e-03 
  1.38423e-02  2.62068e-02  1.05677e-03 
  1.41053e-02  2.65075e-02  1.03850e-03 
  1.43682e-02  2.63128e-02  1.03118e-03 
  1.46312e-02  2.59947e-02  1.00767e-03 
  1.48942e-02  2.59007e-02  9.95763e-04 
  1.51572e-02  2.58838e-02  9.85442e-04 
  1.54201e-02  2.53667e-02  9.69176e-04 
  1.56831e-02  2.52986e-02  9.62787e-04 
  1.59461e-02  2.52800e-02  9.45813e-04 
  1.62091e-02  2.52390e-02  9.33269e-04 
  1.64721e-02  2.56394e-02  9.25664e-04 
  1.67350e-02  2.51673e-02  9.15824e-04 
  1.69980e-02  2.50045e-02  9.06667e-04 
  1.73267e-02  2.42887e-02  7.28831e-04 
  1.77212e-02  2.44235e-02  7.16972e-04 
  1.81157e-02  2.43177e-02  7.10517e-04 
  1.85101e-02  2.43022e-02  6.97503e-04 
  1.89046e-02  2.38204e-02  6.88131e-04 
  1.92991e-02  2.36082e-02  6.76638e-04 
  1.96935e-02  2.34549e-02  6.68671e-04 
  2.00880e-02  2.32423e-02  6.59067e-04 
  2.04825e-02  2.30383e-02  6.51498e-04 
  2.08769e-02  2.27768e-02  6.44005e-04 
  2.12714e-02  2.22779e-02  6.34944e-04 
  2.16659e-02  2.25436e-02  6.29995e-04 
  2.20603e-02  2.25069e-02  6.20103e-04 
  2.24548e-02  2.19205e-02  6.12328e-04 
  2.28493e-02  2.15175e-02  6.06948e-04 
  2.32437e-02  2.16023e-02  5.99171e-04 
