# rebinned data
# q            I            dI          
  6.54466e-03  4.52065e-02  4.04997e-03 
  6.74189e-03  4.41271e-02  2.73283e-03 
  7.00487e-03  4.48842e-02  2.62777e-03 
  7.26785e-03  4.42130e-02  2.48363e-03 
  7.53083e-03  4.46058e-02  2.34941e-03 
  7.79380e-03  4.53854e-02  2.26697e-03 
  8.05678e-03  4.60636e-02  2.16908e-03 
  8.31976e-03  4.54005e-02  2.10726e-03 
  8.58274e-03  4.52332e-02  2.01559e-03 
  8.84571e-03  4.43387e-02  1.94970e-03 
  9.10869e-03  4.55235e-02  1.89503e-03 
  9.37167e-03  4.43680e-02  1.83094e-03 
  9.63465e-03  4.37009e-02  1.76771e-03 
  9.89762e-03  4.32774e-02  1.71936e-03 
  1.01606e-02  4.34016e-02  1.66629e-03 
  1.04236e-02  4.40849e-02  1.64816e-03 
  1.06866e-02  4.37269e-02  1.59040e-03 
  1.09495e-02  4.30644e-02  1.55763e-03 
  1.12125e-02  4.33354e-02  1.50977e-03 
  1.14755e-02  4.24672e-02  1.46375e-03 
  1.17385e-02  4.28446e-02  1.41985e-03 
  1.20014e-02  4.22996e-02  1.37355e-03 
  1.22644e-02  4.23409e-02  1.31368e-03 
  1.25274e-02  4.22206e-02  1.27735e-03 
  1.27904e-02  4.27839e-02  1.23831e-03 
  1.30534e-02  4.20961e-02  1.21245e-03 
  1.33163e-02  4.16524e-02  1.18252e-03 
  1.35793e-02  4.14578e-02  1.16373e-03 
  1.38423e-02  4.13997e-02  1.14611e-03 
  1.41053e-02  4.11657e-02  1.12331e-03 
  1.43682e-02  4.17942e-02  1.12058e-03 
  1.46312e-02  4.11612e-02  1.09433e-03 
  1.48942e-02  4.04655e-02  1.07842e-03 
  1.51572e-02  4.05103e-02  1.06797e-03 
  1.54201e-02  4.02189e-02  1.05208e-03 
  1.56831e-02  3.96916e-02  1.04337e-03 
  1.60118e-02  3.95807e-02  8.33122e-04 
  1.64063e-02  3.94430e-02  8.20210e-04 
  1.68008e-02  3.93866e-02  8.08391e-04 
  1.71952e-02  3.86414e-02  7.95469e-04 
  1.75897e-02  3.84032e-02  7.83265e-04 
  1.79842e-02  3.82729e-02  7.70684e-04 
  1.83786e-02  3.82907e-02  7.60727e-04 
  1.87731e-02  3.75517e-02  7.48465e-04 
  1.91676e-02  3.75911e-02  7.36142e-04 
  1.95620e-02  3.70470e-02  7.29031e-04 
  1.99565e-02  3.64314e-02  7.16024e-04 
  2.03510e-02  3.64085e-02  7.08159e-04 
  2.07454e-02  3.62112e-02  6.99265e-04 
  2.11399e-02  3.55914e-02  6.90644e-04 
  2.15344e-02  3.53958e-02  6.82477e-04 
  2.19288e-02  3.50746e-02  6.73557e-04 
  2.23233e-02  3.48383e-02  6.64720e-04 
  2.27178e-02  3.43998e-02  6.57255e-04 
  2.31122e-02  3.43561e-02  6.49848e-04 
  2.35067e-02  3.39788e-02  6.44642e-04 
  2.39669e-02  3.33322e-02  5.50482e-04 
  2.44929e-02  3.31802e-02  5.42100e-04 
  2.50188e-02  3.24480e-02  5.32935e-04 
  2.55448e-02  3.22614e-02  5.27035e-04 
  2.60707e-02  3.15286e-02  5.19125e-04 
  2.65967e-02  3.11694e-02  5.13563e-04 
  2.71226e-02  3.08585e-02  5.06930e-04 
  2.76486e-02  3.01102e-02  4.98853e-04 
  2.81746e-02  2.99343e-02  4.93196e-04 
  2.87005e-02  2.94287e-02  4.86702e-04 
  2.92265e-02  2.87802e-02  4.82342e-04 
  2.97524e-02  2.85278e-02  4.74392e-04 
  3.02784e-02  2.79131e-02  4.69355e-04 
  3.08043e-02  2.74068e-02  4.63125e-04 
  3.13303e-02  2.72358e-02  4.59816e-04 
  3.19220e-02  2.68492e-02  4.05726e-04 
  3.25794e-02  2.61641e-02  3.99537e-04 
  3.32369e-02  2.54760e-02  3.95895e-04 
  3.38943e-02  2.50165e-02  4.00791e-04 
  3.45518e-02  2.45644e-02  4.00869e-04 
  3.52092e-02  2.37862e-02  4.01343e-04 
  3.58666e-02  2.33704e-02  4.10685e-04 
  3.65241e-02  2.28889e-02  4.12416e-04 
  3.71815e-02  2.23381e-02  4.13133e-04 
  3.78390e-02  2.17659e-02  4.15233e-04 
  3.84964e-02  2.12265e-02  4.06226e-04 
  3.92196e-02  2.07328e-02  3.62599e-04 
  4.00085e-02  2.02138e-02  3.58209e-04 
