# rebinned data
# q            I            dI          
  6.54466e-03  2.31250e-02  3.73315e-03 
  6.74189e-03  2.27753e-02  2.51222e-03 
  7.00487e-03  2.12909e-02  2.40447e-03 
  7.26785e-03  2.17311e-02  2.26416e-03 
  7.53083e-03  2.09141e-02  2.13343e-03 
  7.79380e-03  2.09274e-02  2.04296e-03 
  8.05678e-03  2.15225e-02  1.95002e-03 
  8.31976e-03  2.08562e-02  1.89015e-03 
  8.58274e-03  2.04223e-02  1.80481e-03 
  8.84571e-03  2.04467e-02  1.73274e-03 
  9.10869e-03  2.03334e-02  1.68513e-03 
  9.37167e-03  2.00715e-02  1.61738e-03 
  9.63465e-03  1.98327e-02  1.56915e-03 
  9.89762e-03  2.07144e-02  1.51858e-03 
  1.01606e-02  2.00399e-02  1.46629e-03 
  1.04236e-02  1.99368e-02  1.45516e-03 
  1.06866e-02  1.95647e-02  1.40156e-03 
  1.09495e-02  1.93509e-02  1.36928e-03 
  1.12125e-02  1.98758e-02  1.32293e-03 
  1.14755e-02  1.90544e-02  1.28132e-03 
  1.17385e-02  1.93138e-02  1.23780e-03 
  1.20014e-02  1.89478e-02  1.19268e-03 
  1.22644e-02  1.90619e-02  1.14157e-03 
  1.25274e-02  1.86926e-02  1.11081e-03 
  1.27904e-02  1.90608e-02  1.07479e-03 
  1.30534e-02  1.86505e-02  1.05114e-03 
  1.33163e-02  1.83987e-02  1.02260e-03 
  1.35793e-02  1.87773e-02  1.00723e-03 
  1.38423e-02  1.81791e-02  9.90237e-04 
  1.41053e-02  1.80681e-02  9.72375e-04 
  1.43682e-02  1.82376e-02  9.67985e-04 
  1.46312e-02  1.79918e-02  9.46944e-04 
  1.48942e-02  1.76709e-02  9.31988e-04 
  1.51572e-02  1.78906e-02  9.23456e-04 
  1.54201e-02  1.80501e-02  9.09021e-04 
  1.56831e-02  1.75339e-02  9.03860e-04 
  1.60118e-02  1.72845e-02  7.21418e-04 
  1.64063e-02  1.69417e-02  7.08372e-04 
  1.68008e-02  1.72304e-02  7.00051e-04 
  1.71952e-02  1.69585e-02  6.89242e-04 
  1.75897e-02  1.61749e-02  6.77645e-04 
  1.79842e-02  1.64254e-02  6.65414e-04 
  1.83786e-02  1.61970e-02  6.58018e-04 
  1.87731e-02  1.61627e-02  6.47681e-04 
  1.91676e-02  1.56947e-02  6.37515e-04 
  1.95620e-02  1.57394e-02  6.32164e-04 
  1.99565e-02  1.52092e-02  6.21398e-04 
  2.03510e-02  1.54657e-02  6.14302e-04 
  2.07454e-02  1.51731e-02  6.05823e-04 
  2.11399e-02  1.49100e-02  5.98739e-04 
  2.15344e-02  1.52082e-02  5.94392e-04 
  2.19288e-02  1.49783e-02  5.85281e-04 
  2.23233e-02  1.45865e-02  5.79361e-04 
  2.27178e-02  1.45145e-02  5.72226e-04 
  2.31122e-02  1.43472e-02  5.65656e-04 
  2.35067e-02  1.40250e-02  5.61417e-04 
  2.39669e-02  1.41211e-02  4.80050e-04 
  2.44929e-02  1.37289e-02  4.72032e-04 
  2.50188e-02  1.33327e-02  4.65619e-04 
  2.55448e-02  1.34910e-02  4.60557e-04 
  2.60707e-02  1.31257e-02  4.54842e-04 
  2.65967e-02  1.30196e-02  4.49437e-04 
  2.71226e-02  1.28348e-02  4.44667e-04 
  2.76486e-02  1.23681e-02  4.38519e-04 
  2.81746e-02  1.22438e-02  4.33789e-04 
  2.87005e-02  1.24485e-02  4.28747e-04 
  2.92265e-02  1.19774e-02  4.25877e-04 
  2.97524e-02  1.18375e-02  4.19894e-04 
  3.02784e-02  1.17511e-02  4.15227e-04 
  3.08043e-02  1.14930e-02  4.10215e-04 
  3.13303e-02  1.13485e-02  4.07942e-04 
  3.19220e-02  1.12438e-02  3.59880e-04 
  3.25794e-02  1.08494e-02  3.55570e-04 
  3.32369e-02  1.08058e-02  3.53582e-04 
  3.38943e-02  1.03564e-02  3.58208e-04 
  3.45518e-02  1.02515e-02  3.58978e-04 
  3.52092e-02  1.00678e-02  3.59500e-04 
  3.58666e-02  9.86418e-03  3.68711e-04 
  3.65241e-02  9.60193e-03  3.71151e-04 
  3.71815e-02  9.51173e-03  3.72271e-04 
  3.78390e-02  9.22935e-03  3.75068e-04 
  3.84964e-02  9.18314e-03  3.67872e-04 
  3.92196e-02  8.86858e-03  3.29364e-04 
  4.00085e-02  8.67327e-03  3.25385e-04 
  4.07975e-02  8.57545e-03  3.23034e-04 
  4.15864e-02  8.28892e-03  3.19561e-04 
  4.23753e-02  8.11458e-03  3.16913e-04 
  4.31643e-02  7.85468e-03  3.14820e-04 
  4.39532e-02  7.78038e-03  3.12349e-04 
  4.47421e-02  7.69813e-03  3.10099e-04 
  4.55311e-02  7.33722e-03  3.07756e-04 
  4.63857e-02  7.12145e-03  2.88248e-04 
  4.73062e-02  6.78042e-03  2.94576e-04 
  4.82266e-02  6.72420e-03  2.98136e-04 
  4.91470e-02  6.61008e-03  3.00885e-04 
  5.00674e-02  6.38290e-03  3.02167e-04 
  5.09878e-02  6.07050e-03  3.04188e-04 
  5.19083e-02  5.84449e-03  3.04706e-04 
  5.28287e-02  5.79484e-03  3.05277e-04 
  5.38148e-02  5.64363e-03  2.86833e-04 
  5.48668e-02  5.50250e-03  2.87448e-04 
  5.59187e-02  5.28697e-03  2.88287e-04 
  5.69706e-02  5.09220e-03  2.88207e-04 
  5.80225e-02  4.91225e-03  2.86975e-04 
  5.90744e-02  4.71423e-03  2.84136e-04 
  6.01263e-02  4.71149e-03  2.81500e-04 
  6.12440e-02  4.46327e-03  2.63711e-04 
  6.24274e-02  4.22685e-03  2.62536e-04 
  6.36108e-02  4.11570e-03  2.60902e-04 
  6.47942e-02  3.95883e-03  2.59700e-04 
  6.59776e-02  3.90651e-03  2.58091e-04 
  6.72267e-02  3.62972e-03  2.43579e-04 
  6.85416e-02  3.61518e-03  2.42045e-04 
  6.98565e-02  3.48428e-03  2.40550e-04 
  7.11714e-02  3.24568e-03  2.39216e-04 
  7.24862e-02  3.25709e-03  2.37759e-04 
  7.38011e-02  2.99465e-03  2.36200e-04 
  7.51818e-02  2.95567e-03  2.23947e-04 
  7.66281e-02  2.96502e-03  2.22419e-04 
  7.80745e-02  2.75234e-03  2.21146e-04 
  7.95209e-02  2.62490e-03  2.19714e-04 
  8.09673e-02  2.59641e-03  2.18551e-04 
  8.24794e-02  2.55692e-03  2.08056e-04 
  8.40572e-02  2.39592e-03  2.06778e-04 
  8.56351e-02  2.26617e-03  2.05166e-04 
  8.72130e-02  2.18077e-03  2.04072e-04 
  8.88566e-02  2.20756e-03  1.94755e-04 
  9.05659e-02  2.24027e-03  1.93844e-04 
  9.22753e-02  2.10144e-03  2.02340e-04 
  9.39846e-02  2.12089e-03  1.96877e-04 
  9.57597e-02  2.01140e-03  1.86816e-04 
  9.76006e-02  2.06642e-03  1.84330e-04 
  9.94414e-02  2.01746e-03  1.81477e-04 
  1.01282e-01  1.94037e-03  1.80811e-04 
  1.03189e-01  2.00868e-03  1.73406e-04 
  1.05161e-01  1.97886e-03  1.72371e-04 
  1.07134e-01  1.95805e-03  1.76489e-04 
  1.09172e-01  1.89676e-03  1.81723e-04 
  1.11275e-01  1.94797e-03  1.86515e-04 
  1.13379e-01  1.89396e-03  1.76503e-04 
  1.15483e-01  1.81328e-03  1.71727e-04 
  1.17653e-01  1.86300e-03  1.62644e-04 
  1.19888e-01  1.83624e-03  1.58575e-04 
  1.22123e-01  1.83507e-03  1.56180e-04 
  1.24424e-01  1.72332e-03  1.50491e-04 
  1.26791e-01  1.74169e-03  1.49104e-04 
  1.29224e-01  1.64861e-03  1.43821e-04 
  1.31722e-01  1.66790e-03  1.42731e-04 
  1.34220e-01  1.70190e-03  1.41814e-04 
  1.36784e-01  1.70503e-03  1.37054e-04 
  1.39414e-01  1.71410e-03  1.35905e-04 
  1.42044e-01  1.63605e-03  1.34537e-04 
  1.44739e-01  1.68693e-03  1.30492e-04 
  1.47501e-01  1.63712e-03  1.29523e-04 
  1.50328e-01  1.66536e-03  1.25728e-04 
  1.53220e-01  1.68744e-03  1.24675e-04 
  1.56113e-01  1.62595e-03  1.23668e-04 
  1.59072e-01  1.65277e-03  1.20058e-04 
  1.62096e-01  1.65108e-03  1.19055e-04 
  1.65186e-01  1.60009e-03  1.15672e-04 
  1.68342e-01  1.56972e-03  1.14808e-04 
  1.71563e-01  1.65313e-03  1.11596e-04 
  1.74850e-01  1.63076e-03  1.10717e-04 
  1.78203e-01  1.59375e-03  1.07704e-04 
  1.81622e-01  1.56765e-03  1.12946e-04 
  1.85106e-01  1.50635e-03  1.15538e-04 
  1.88657e-01  1.47187e-03  1.08032e-04 
  1.92272e-01  1.53630e-03  1.02730e-04 
  1.95954e-01  1.51463e-03  1.01432e-04 
  1.99702e-01  1.47686e-03  9.85925e-05 
  2.03515e-01  1.50915e-03  9.75694e-05 
  2.07394e-01  1.44738e-03  9.50115e-05 
  2.11404e-01  1.40608e-03  9.27099e-05 
  2.15480e-01  1.42358e-03  9.18275e-05 
  2.19622e-01  1.39949e-03  8.95128e-05 
  2.23830e-01  1.36997e-03  8.86668e-05 
  2.28103e-01  1.30858e-03  8.66048e-05 
  2.32508e-01  1.28812e-03  9.12637e-05 
  2.36979e-01  1.30045e-03  9.38320e-05 
  2.41515e-01  1.34322e-03  9.38491e-05 
  2.46183e-01  1.26066e-03  9.35386e-05 
  2.50982e-01  1.25858e-03  9.31240e-05 
  2.55847e-01  1.26573e-03  1.02966e-04 
  2.60778e-01  1.20265e-03  1.12828e-04 
  2.65840e-01  1.23660e-03  1.18020e-04 
  2.70968e-01  1.21497e-03  1.24312e-04 
  2.76162e-01  1.17235e-03  1.29446e-04 
  2.81488e-01  1.17942e-03  1.35313e-04 
  2.86944e-01  1.17606e-03  1.42076e-04 
  2.92533e-01  1.13894e-03  1.48627e-04 
  2.98252e-01  1.13127e-03  1.54356e-04 
  3.04038e-01  1.15963e-03  1.66897e-04 
  3.09889e-01  1.15417e-03  1.80423e-04 
  3.15872e-01  1.14201e-03  1.99206e-04 
  3.21986e-01  1.02894e-03  2.26249e-04 
  3.28232e-01  1.07208e-03  2.70586e-04 
  3.34609e-01  1.22115e-03  3.69263e-04 
  3.38948e-01  1.15696e-03  9.19351e-04 
