# rebinned data
# q            I            dI          
  6.80764e-03  3.82939e-02  3.71666e-03 
  7.00487e-03  3.75173e-02  2.57380e-03 
  7.26785e-03  3.79847e-02  2.43681e-03 
  7.53083e-03  3.72456e-02  2.29531e-03 
  7.79380e-03  3.73467e-02  2.20781e-03 
  8.05678e-03  3.81515e-02  2.11079e-03 
  8.31976e-03  3.83958e-02  2.05444e-03 
  8.58274e-03  3.76658e-02  1.95914e-03 
  8.84571e-03  3.75206e-02  1.89875e-03 
  9.10869e-03  3.82390e-02  1.84038e-03 
  9.37167e-03  3.78077e-02  1.78161e-03 
  9.63465e-03  3.84666e-02  1.72765e-03 
  9.89762e-03  3.76548e-02  1.67683e-03 
  1.01606e-02  3.70613e-02  1.61940e-03 
  1.04236e-02  3.71772e-02  1.59709e-03 
  1.06866e-02  3.71334e-02  1.54220e-03 
  1.09495e-02  3.69245e-02  1.51288e-03 
  1.12125e-02  3.63701e-02  1.46038e-03 
  1.14755e-02  3.65792e-02  1.42207e-03 
  1.17385e-02  3.61813e-02  1.37358e-03 
  1.20014e-02  3.58228e-02  1.32934e-03 
  1.22644e-02  3.62096e-02  1.27285e-03 
  1.25274e-02  3.61371e-02  1.23736e-03 
  1.27904e-02  3.62127e-02  1.19651e-03 
  1.30534e-02  3.59658e-02  1.17368e-03 
  1.33163e-02  3.54501e-02  1.14395e-03 
  1.35793e-02  3.50333e-02  1.12424e-03 
  1.38423e-02  3.47755e-02  1.10580e-03 
  1.41053e-02  3.46851e-02  1.08421e-03 
  1.43682e-02  3.45503e-02  1.07734e-03 
  1.46312e-02  3.44984e-02  1.05483e-03 
  1.48942e-02  3.40665e-02  1.04059e-03 
  1.51572e-02  3.35821e-02  1.02746e-03 
  1.54201e-02  3.36511e-02  1.01389e-03 
  1.56831e-02  3.35458e-02  1.00735e-03 
  1.59461e-02  3.34158e-02  9.89345e-04 
  1.62748e-02  3.34621e-02  7.96480e-04 
  1.66693e-02  3.31389e-02  7.82401e-04 
  1.70638e-02  3.24381e-02  7.69765e-04 
  1.74582e-02  3.22792e-02  7.58310e-04 
  1.78527e-02  3.19931e-02  7.47330e-04 
  1.82472e-02  3.16921e-02  7.36699e-04 
  1.86416e-02  3.12335e-02  7.21995e-04 
  1.90361e-02  3.10566e-02  7.13555e-04 
