# rebinned data
# q            I            dI          
  6.80764e-03  4.04671e-02  3.74843e-03 
  7.00487e-03  4.09172e-02  2.60467e-03 
  7.26785e-03  4.18956e-02  2.47104e-03 
  7.53083e-03  4.11053e-02  2.32881e-03 
  7.79380e-03  4.19559e-02  2.24657e-03 
  8.05678e-03  4.14365e-02  2.14032e-03 
  8.31976e-03  4.13163e-02  2.08177e-03 
  8.58274e-03  4.15300e-02  1.99274e-03 
  8.84571e-03  4.14884e-02  1.93251e-03 
  9.10869e-03  4.22657e-02  1.87483e-03 
  9.37167e-03  4.10593e-02  1.81036e-03 
  9.63465e-03  4.17250e-02  1.75626e-03 
  9.89762e-03  4.10474e-02  1.70609e-03 
  1.01606e-02  4.04451e-02  1.64823e-03 
  1.04236e-02  4.15760e-02  1.63312e-03 
  1.06866e-02  4.14976e-02  1.57730e-03 
  1.09495e-02  4.08396e-02  1.54478e-03 
  1.12125e-02  4.07735e-02  1.49488e-03 
  1.14755e-02  4.00974e-02  1.45025e-03 
  1.17385e-02  4.06224e-02  1.40729e-03 
  1.20014e-02  3.98468e-02  1.35979e-03 
  1.22644e-02  3.99914e-02  1.30100e-03 
  1.25274e-02  4.02483e-02  1.26718e-03 
  1.27904e-02  3.99900e-02  1.22343e-03 
  1.30534e-02  3.97370e-02  1.20029e-03 
  1.33163e-02  3.95309e-02  1.17191e-03 
  1.35793e-02  3.91861e-02  1.15239e-03 
  1.38423e-02  3.90151e-02  1.13412e-03 
  1.41053e-02  3.85915e-02  1.11035e-03 
  1.43682e-02  3.87854e-02  1.10515e-03 
  1.46312e-02  3.88438e-02  1.08286e-03 
  1.48942e-02  3.86171e-02  1.06960e-03 
  1.51572e-02  3.82791e-02  1.05720e-03 
  1.54201e-02  3.80185e-02  1.04158e-03 
  1.56831e-02  3.78869e-02  1.03485e-03 
  1.59461e-02  3.80024e-02  1.01769e-03 
  1.62748e-02  3.74454e-02  8.16855e-04 
  1.66693e-02  3.72710e-02  8.03206e-04 
  1.70638e-02  3.69753e-02  7.91950e-04 
  1.74582e-02  3.64070e-02  7.78607e-04 
  1.78527e-02  3.60421e-02  7.67161e-04 
  1.82472e-02  3.59870e-02  7.57303e-04 
  1.86416e-02  3.58433e-02  7.43631e-04 
  1.90361e-02  3.54906e-02  7.34278e-04 
  1.94306e-02  3.52237e-02  7.23123e-04 
  1.98250e-02  3.46647e-02  7.12132e-04 
  2.02195e-02  3.44274e-02  7.06669e-04 
  2.06140e-02  3.40585e-02  6.93777e-04 
  2.10084e-02  3.38815e-02  6.87115e-04 
  2.14029e-02  3.33980e-02  6.77404e-04 
  2.17974e-02  3.31104e-02  6.68183e-04 
  2.21918e-02  3.31109e-02  6.62761e-04 
  2.25863e-02  3.23661e-02  6.53014e-04 
  2.29807e-02  3.21593e-02  6.45551e-04 
  2.33752e-02  3.18705e-02  6.37955e-04 
  2.37697e-02  3.15054e-02  6.32321e-04 
  2.42299e-02  3.11553e-02  5.39827e-04 
  2.47558e-02  3.07674e-02  5.32247e-04 
  2.52818e-02  3.04781e-02  5.25631e-04 
  2.58078e-02  3.01058e-02  5.17413e-04 
  2.63337e-02  2.92869e-02  5.10323e-04 
  2.68597e-02  2.90322e-02  5.05238e-04 
  2.73856e-02  2.84928e-02  4.97480e-04 
  2.79116e-02  2.79937e-02  4.90377e-04 
  2.84375e-02  2.77837e-02  4.85210e-04 
  2.89635e-02  2.71602e-02  4.79197e-04 
  2.94894e-02  2.69070e-02  4.73333e-04 
  3.00154e-02  2.64038e-02  4.67225e-04 
  3.05413e-02  2.58552e-02  4.62767e-04 
  3.10673e-02  2.55522e-02  4.56237e-04 
  3.15933e-02  2.50875e-02  4.52039e-04 
  3.21850e-02  2.45261e-02  3.98652e-04 
  3.28424e-02  2.40213e-02  3.92909e-04 
  3.34998e-02  2.35197e-02  3.93860e-04 
  3.41573e-02  2.29867e-02  3.97469e-04 
  3.48147e-02  2.25155e-02  3.96245e-04 
  3.54722e-02  2.18844e-02  4.00601e-04 
  3.61296e-02  2.14629e-02  4.07488e-04 
  3.67871e-02  2.10662e-02  4.09031e-04 
  3.74445e-02  2.04928e-02  4.10034e-04 
  3.81019e-02  1.99534e-02  4.09263e-04 
  3.87594e-02  1.94427e-02  3.98413e-04 
  3.94826e-02  1.90864e-02  3.57824e-04 
  4.02715e-02  1.84233e-02  3.53524e-04 
  4.10604e-02  1.79712e-02  3.49716e-04 
  4.18494e-02  1.74690e-02  3.46077e-04 
  4.26383e-02  1.70417e-02  3.41633e-04 
  4.34272e-02  1.64116e-02  3.39098e-04 
  4.42162e-02  1.57358e-02  3.35580e-04 
  4.50051e-02  1.52310e-02  3.32168e-04 
  4.57940e-02  1.47167e-02  3.29304e-04 
  4.66487e-02  1.43055e-02  3.11912e-04 
  4.75691e-02  1.37593e-02  3.16235e-04 
  4.84896e-02  1.33434e-02  3.19296e-04 
  4.94100e-02  1.26702e-02  3.20219e-04 
  5.03304e-02  1.21582e-02  3.21370e-04 
  5.12508e-02  1.17111e-02  3.21933e-04 
  5.21712e-02  1.14294e-02  3.22863e-04 
  5.30917e-02  1.08070e-02  3.22692e-04 
  5.40778e-02  1.02685e-02  3.02019e-04 
  5.51297e-02  9.91686e-03  3.02227e-04 
  5.61816e-02  9.35673e-03  3.01844e-04 
  5.72336e-02  8.93067e-03  3.01065e-04 
  5.82855e-02  8.42331e-03  2.99294e-04 
  5.93374e-02  8.11280e-03  2.94812e-04 
  6.03893e-02  7.63829e-03  2.92507e-04 
  6.15069e-02  7.32695e-03  2.73754e-04 
  6.26903e-02  6.73917e-03  2.71772e-04 
  6.38737e-02  6.36956e-03  2.69831e-04 
  6.50571e-02  6.12940e-03  2.68300e-04 
  6.62405e-02  5.73193e-03  2.65935e-04 
  6.74897e-02  5.44566e-03  2.50712e-04 
  6.88046e-02  5.08561e-03  2.48483e-04 
  7.01194e-02  4.76037e-03  2.46743e-04 
  7.14343e-02  4.32972e-03  2.44825e-04 
  7.27492e-02  4.01117e-03  2.42995e-04 
  7.40641e-02  3.77857e-03  2.41732e-04 
  7.54447e-02  3.69309e-03  2.28593e-04 
  7.68911e-02  3.35418e-03  2.27013e-04 
  7.83375e-02  3.12149e-03  2.25508e-04 
  7.97839e-02  3.06532e-03  2.23677e-04 
  8.12302e-02  2.74037e-03  2.22282e-04 
  8.27424e-02  2.58468e-03  2.11563e-04 
  8.43202e-02  2.44353e-03  2.10045e-04 
  8.58981e-02  2.28988e-03  2.08756e-04 
  8.74760e-02  2.11171e-03  2.07377e-04 
  8.91196e-02  2.14599e-03  1.97952e-04 
  9.08289e-02  1.98557e-03  1.97463e-04 
  9.25383e-02  1.96176e-03  2.05810e-04 
  9.42476e-02  1.96850e-03  1.99517e-04 
  9.60227e-02  1.87106e-03  1.89518e-04 
