# q I_dat dI_dat
0.006545 0.026045 0.001051
0.006742 0.024831 0.000706
0.007005 0.024170 0.000678
0.007268 0.024192 0.000638
0.007531 0.023088 0.000601
0.007794 0.023969 0.000577
0.008057 0.023669 0.000549
0.008320 0.023511 0.000534
0.008583 0.022859 0.000509
0.008846 0.023611 0.000491
0.009109 0.023259 0.000477
0.009372 0.023466 0.000459
0.009635 0.023347 0.000446
0.009898 0.023969 0.000431
0.010161 0.023107 0.000416
0.010424 0.023049 0.000413
0.010687 0.022628 0.000398
0.010949 0.022860 0.000390
0.011212 0.022741 0.000375
0.011475 0.022929 0.000366
0.011738 0.022701 0.000353
0.012001 0.022550 0.000340
0.012264 0.022458 0.000326
0.012527 0.022152 0.000317
0.012790 0.022664 0.000307
0.013053 0.022434 0.000301
0.013316 0.022603 0.000293
0.013579 0.022613 0.000288
0.013842 0.022130 0.000284
0.014105 0.021369 0.000277
0.014368 0.021829 0.000277
0.014631 0.021622 0.000271
0.014894 0.021658 0.000267
0.015157 0.021409 0.000264
0.015420 0.021303 0.000259
0.015683 0.021116 0.000259
0.016012 0.021249 0.000207
0.016406 0.021220 0.000204
0.016801 0.020684 0.000200
0.017195 0.020731 0.000197
0.017590 0.020676 0.000195
0.017984 0.020357 0.000191
0.018379 0.019993 0.000189
0.018773 0.020228 0.000186
0.019168 0.019769 0.000183
0.019562 0.019763 0.000182
0.019956 0.019130 0.000178
0.020351 0.019600 0.000177
0.020745 0.019171 0.000174
0.021140 0.018816 0.000172
0.021534 0.018827 0.000170
0.021929 0.018903 0.000168
0.022323 0.018435 0.000166
0.022718 0.018114 0.000164
0.023112 0.017925 0.000162
0.023507 0.017893 0.000161
0.023967 0.017899 0.000138
0.024493 0.017681 0.000136
0.025019 0.017315 0.000134
0.025545 0.017281 0.000132
0.026071 0.016834 0.000130
0.026597 0.016637 0.000129
0.027123 0.016403 0.000127
0.027649 0.016043 0.000126
0.028175 0.015830 0.000124
0.028701 0.015802 0.000123
0.029227 0.015474 0.000122
0.029752 0.015075 0.000120
0.030278 0.015170 0.000119
0.030804 0.014825 0.000117
0.031330 0.014433 0.000117
0.031922 0.014307 0.000103
0.032579 0.014001 0.000102
0.033237 0.013683 0.000101
0.033894 0.013181 0.000102
0.034552 0.013111 0.000102
0.035209 0.013004 0.000103
0.035867 0.012658 0.000105
0.036524 0.012457 0.000106
0.037182 0.012193 0.000106
0.037839 0.011824 0.000107
0.038496 0.011626 0.000105
0.039220 0.011361 0.000094
0.040009 0.011068 0.000093
0.040798 0.010675 0.000092
0.041586 0.010486 0.000091
0.042375 0.010253 0.000090
0.043164 0.009808 0.000089
0.043953 0.009661 0.000089
0.044742 0.009410 0.000088
0.045531 0.009049 0.000087
0.046386 0.008822 0.000082
0.047306 0.008513 0.000083
0.048227 0.008180 0.000084
