# q I_dat dI_dat
0.006545 0.045206 0.001251
0.006742 0.044127 0.000844
0.007005 0.044884 0.000812
0.007268 0.044213 0.000767
0.007531 0.044606 0.000726
0.007794 0.045385 0.000700
0.008057 0.046064 0.000670
0.008320 0.045401 0.000651
0.008583 0.045233 0.000623
0.008846 0.044339 0.000602
0.009109 0.045523 0.000585
0.009372 0.044368 0.000566
0.009635 0.043701 0.000546
0.009898 0.043277 0.000531
0.010161 0.043402 0.000515
0.010424 0.044085 0.000509
0.010687 0.043727 0.000491
0.010949 0.043064 0.000481
0.011212 0.043335 0.000466
0.011475 0.042467 0.000452
0.011738 0.042845 0.000439
0.012001 0.042300 0.000424
0.012264 0.042341 0.000406
0.012527 0.042221 0.000395
0.012790 0.042784 0.000382
0.013053 0.042096 0.000375
0.013316 0.041652 0.000365
0.013579 0.041458 0.000359
0.013842 0.041400 0.000354
0.014105 0.041166 0.000347
0.014368 0.041794 0.000346
0.014631 0.041161 0.000338
0.014894 0.040466 0.000333
0.015157 0.040510 0.000330
0.015420 0.040219 0.000325
0.015683 0.039692 0.000322
0.016012 0.039581 0.000257
0.016406 0.039443 0.000253
0.016801 0.039387 0.000250
0.017195 0.038641 0.000246
0.017590 0.038403 0.000242
0.017984 0.038273 0.000238
0.018379 0.038291 0.000235
0.018773 0.037552 0.000231
0.019168 0.037591 0.000227
0.019562 0.037047 0.000225
0.019956 0.036431 0.000221
0.020351 0.036408 0.000219
0.020745 0.036211 0.000216
0.021140 0.035591 0.000213
0.021534 0.035396 0.000211
0.021929 0.035075 0.000208
0.022323 0.034838 0.000205
0.022718 0.034400 0.000203
0.023112 0.034356 0.000201
0.023507 0.033979 0.000199
0.023967 0.033332 0.000170
0.024493 0.033180 0.000167
0.025019 0.032448 0.000165
0.025545 0.032261 0.000163
0.026071 0.031529 0.000160
0.026597 0.031169 0.000159
0.027123 0.030858 0.000157
0.027649 0.030110 0.000154
0.028175 0.029934 0.000152
0.028701 0.029429 0.000150
0.029227 0.028780 0.000149
0.029752 0.028528 0.000147
0.030278 0.027913 0.000145
0.030804 0.027407 0.000143
0.031330 0.027236 0.000142
0.031922 0.026849 0.000125
0.032579 0.026164 0.000123
0.033237 0.025476 0.000122
0.033894 0.025016 0.000124
0.034552 0.024564 0.000124
0.035209 0.023786 0.000124
0.035867 0.023370 0.000127
0.036524 0.022889 0.000127
0.037182 0.022338 0.000128
0.037839 0.021766 0.000128
0.038496 0.021226 0.000125
0.039220 0.020733 0.000112
0.040009 0.020214 0.000111
0.040798 0.019566 0.000109
0.041586 0.018919 0.000108
0.042375 0.018590 0.000107
0.043164 0.017981 0.000106
0.043953 0.017320 0.000105
0.044742 0.016739 0.000104
0.045531 0.016304 0.000103
0.046386 0.015699 0.000096
0.047306 0.015196 0.000098
0.048227 0.014734 0.000099
0.049147 0.014185 0.000100
0.050067 0.013403 0.000100
0.050988 0.012849 0.000100
0.051908 0.012438 0.000100
0.052829 0.012086 0.000100
0.053815 0.011409 0.000094
0.054867 0.010829 0.000094
0.055919 0.010440 0.000094
0.056971 0.009932 0.000094
0.058022 0.009380 0.000093
0.059074 0.008836 0.000092
0.060126 0.008396 0.000091
0.061244 0.007999 0.000085
0.062427 0.007515 0.000084
0.063611 0.007112 0.000084
0.064794 0.006646 0.000083
0.065978 0.006356 0.000083
0.067227 0.005963 0.000078
0.068542 0.005597 0.000077
0.069857 0.005204 0.000076
0.071171 0.004724 0.000076
0.072486 0.004487 0.000075
0.073801 0.004087 0.000075
0.075182 0.003899 0.000071
0.076628 0.003679 0.000070
0.078075 0.003345 0.000070
0.079521 0.003165 0.000069
0.080967 0.002950 0.000069
0.082479 0.002799 0.000065
0.084057 0.002602 0.000065
0.085635 0.002384 0.000065
0.087213 0.002124 0.000064
0.088857 0.002269 0.000061
0.090566 0.002003 0.000061
0.092275 0.001976 0.000063
0.093985 0.001884 0.000062
0.095760 0.001868 0.000059
0.097601 0.001815 0.000058
