# q I_dat dI_dat
0.099441 0.001792 0.000057
0.101282 0.001832 0.000057
0.103189 0.001872 0.000054
0.105161 0.001823 0.000054
0.107134 0.001959 0.000055
0.109172 0.001883 0.000057
0.111275 0.001978 0.000059
0.113379 0.002063 0.000055
0.115483 0.002037 0.000054
0.117653 0.002178 0.000051
0.119888 0.002138 0.000050
0.122123 0.002185 0.000049
0.124424 0.002238 0.000047
0.126791 0.002282 0.000047
0.129224 0.002329 0.000045
0.131722 0.002286 0.000045
0.134220 0.002389 0.000045
0.136784 0.002436 0.000043
0.139414 0.002438 0.000043
0.142044 0.002473 0.000043
0.144739 0.002429 0.000041
0.147501 0.002516 0.000041
0.150328 0.002467 0.000040
0.153220 0.002478 0.000039
0.156113 0.002490 0.000039
0.159072 0.002464 0.000038
0.162096 0.002386 0.000038
0.165186 0.002392 0.000037
0.168342 0.002311 0.000036
0.171563 0.002276 0.000035
0.174850 0.002242 0.000035
0.178203 0.002118 0.000034
0.181622 0.002037 0.000036
0.185106 0.001938 0.000036
0.188657 0.001854 0.000034
0.192272 0.001780 0.000032
0.195954 0.001689 0.000032
0.199702 0.001718 0.000031
0.203515 0.001512 0.000031
0.207394 0.001420 0.000030
0.211404 0.001390 0.000029
0.215480 0.001325 0.000029
0.219622 0.001217 0.000028
0.223830 0.001176 0.000028
0.228103 0.001077 0.000027
0.232508 0.001064 0.000029
0.236979 0.000997 0.000029
0.241515 0.000891 0.000029
0.246183 0.000900 0.000029
0.250982 0.000834 0.000029
0.255847 0.000822 0.000032
0.260778 0.000839 0.000035
0.265840 0.000772 0.000037
0.270968 0.000766 0.000039
0.276162 0.000812 0.000041
0.281488 0.000711 0.000042
0.286944 0.000672 0.000044
0.292533 0.000701 0.000047
0.298252 0.000634 0.000048
0.304038 0.000738 0.000052
0.309889 0.000679 0.000056
0.315872 0.000625 0.000062
0.321986 0.000711 0.000071
0.328232 0.000660 0.000085
0.334609 0.000692 0.000116
0.338948 0.000488 0.000288
