# q I_dat dI_dat
0.006545 0.039424 0.001217
0.006742 0.039391 0.000822
0.007005 0.038420 0.000790
0.007268 0.039619 0.000749
0.007531 0.037967 0.000706
0.007794 0.037769 0.000678
0.008057 0.037718 0.000647
0.008320 0.037265 0.000630
0.008583 0.036073 0.000601
0.008846 0.036346 0.000579
0.009109 0.036386 0.000565
0.009372 0.036549 0.000545
0.009635 0.036165 0.000529
0.009898 0.036963 0.000513
0.010161 0.035886 0.000495
0.010424 0.035305 0.000491
0.010687 0.035610 0.000475
0.010949 0.034772 0.000464
0.011212 0.035469 0.000449
0.011475 0.034689 0.000435
0.011738 0.034183 0.000420
0.012001 0.034199 0.000406
0.012264 0.034170 0.000389
0.012527 0.034010 0.000379
0.012790 0.033511 0.000365
0.013053 0.033597 0.000359
0.013316 0.033523 0.000349
0.013579 0.033740 0.000344
0.013842 0.033508 0.000339
0.014105 0.031933 0.000331
0.014368 0.032488 0.000330
0.014631 0.031949 0.000323
0.014894 0.031584 0.000318
0.015157 0.031820 0.000315
0.015420 0.031948 0.000310
0.015683 0.031393 0.000308
0.016012 0.031199 0.000246
0.016406 0.030844 0.000242
0.016801 0.030678 0.000238
0.017195 0.030477 0.000235
0.017590 0.029846 0.000231
0.017984 0.029812 0.000227
0.018379 0.029346 0.000224
0.018773 0.029266 0.000221
0.019168 0.028978 0.000217
0.019562 0.028608 0.000215
0.019956 0.027862 0.000211
0.020351 0.028134 0.000209
0.020745 0.027862 0.000206
0.021140 0.027395 0.000204
0.021534 0.027231 0.000202
0.021929 0.026794 0.000198
0.022323 0.026514 0.000196
0.022718 0.026076 0.000194
0.023112 0.025778 0.000191
0.023507 0.025248 0.000190
0.023967 0.025410 0.000162
0.024493 0.024932 0.000160
0.025019 0.024362 0.000157
0.025545 0.024129 0.000155
0.026071 0.023649 0.000153
0.026597 0.023488 0.000151
0.027123 0.023031 0.000149
0.027649 0.022608 0.000147
0.028175 0.022335 0.000146
0.028701 0.022239 0.000144
0.029227 0.021521 0.000143
0.029752 0.021188 0.000140
0.030278 0.020924 0.000139
0.030804 0.020542 0.000137
0.031330 0.020099 0.000136
0.031922 0.019844 0.000120
0.032579 0.019533 0.000118
0.033237 0.019126 0.000118
0.033894 0.018536 0.000119
0.034552 0.018182 0.000119
0.035209 0.017768 0.000119
0.035867 0.017619 0.000122
0.036524 0.017029 0.000123
0.037182 0.016649 0.000123
0.037839 0.016339 0.000124
0.038496 0.015838 0.000121
0.039220 0.015593 0.000108
0.040009 0.015194 0.000107
0.040798 0.014728 0.000106
0.041586 0.014395 0.000105
0.042375 0.014052 0.000104
0.043164 0.013448 0.000103
0.043953 0.013285 0.000102
0.044742 0.012980 0.000101
0.045531 0.012552 0.000100
0.046386 0.012072 0.000094
0.047306 0.011652 0.000096
0.048227 0.011463 0.000097
0.049147 0.010998 0.000097
0.050067 0.010713 0.000098
0.050988 0.010111 0.000098
0.051908 0.009921 0.000098
0.052829 0.009739 0.000099
0.053815 0.009293 0.000092
0.054867 0.008900 0.000092
0.055919 0.008523 0.000093
0.056971 0.008216 0.000093
0.058022 0.007945 0.000092
0.059074 0.007605 0.000091
0.060126 0.007300 0.000090
0.061244 0.006930 0.000084
0.062427 0.006613 0.000084
0.063611 0.006436 0.000083
0.064794 0.006201 0.000083
0.065978 0.005933 0.000082
0.067227 0.005618 0.000078
0.068542 0.005291 0.000077
0.069857 0.005074 0.000076
0.071171 0.004817 0.000076
0.072486 0.004629 0.000075
0.073801 0.004385 0.000075
0.075182 0.004295 0.000071
0.076628 0.004045 0.000070
0.078075 0.003817 0.000070
0.079521 0.003783 0.000070
0.080967 0.003610 0.000069
0.082479 0.003440 0.000066
0.084057 0.003311 0.000065
0.085635 0.003175 0.000065
0.087213 0.003042 0.000064
0.088857 0.002984 0.000061
0.090566 0.002961 0.000061
0.092275 0.002789 0.000064
0.093985 0.002778 0.000062
0.095760 0.002749 0.000059
0.097601 0.002648 0.000058
0.099441 0.002652 0.000057
0.101282 0.002551 0.000057
0.103189 0.002630 0.000055
0.105161 0.002504 0.000054
0.107134 0.002536 0.000056
0.109172 0.002503 0.000057
0.111275 0.002422 0.000059
0.113379 0.002410 0.000056
0.115483 0.002348 0.000054
