# q I_dat dI_dat
0.006808 0.038294 0.001009
0.007005 0.037517 0.000699
0.007268 0.037985 0.000662
0.007531 0.037246 0.000623
0.007794 0.037347 0.000599
0.008057 0.038151 0.000573
0.008320 0.038396 0.000558
0.008583 0.037666 0.000532
0.008846 0.037521 0.000516
0.009109 0.038239 0.000500
0.009372 0.037808 0.000484
0.009635 0.038467 0.000469
0.009898 0.037655 0.000455
0.010161 0.037061 0.000440
0.010424 0.037177 0.000434
0.010687 0.037133 0.000419
0.010949 0.036924 0.000411
0.011212 0.036370 0.000397
0.011475 0.036579 0.000386
0.011738 0.036181 0.000373
0.012001 0.035823 0.000361
0.012264 0.036210 0.000346
0.012527 0.036137 0.000336
0.012790 0.036213 0.000325
0.013053 0.035966 0.000319
0.013316 0.035450 0.000311
0.013579 0.035033 0.000305
0.013842 0.034775 0.000300
0.014105 0.034685 0.000294
0.014368 0.034550 0.000293
0.014631 0.034498 0.000286
0.014894 0.034066 0.000283
0.015157 0.033582 0.000279
0.015420 0.033651 0.000275
0.015683 0.033546 0.000274
0.015946 0.033416 0.000269
0.016275 0.033462 0.000216
0.016669 0.033139 0.000212
0.017064 0.032438 0.000209
0.017458 0.032279 0.000206
0.017853 0.031993 0.000203
0.018247 0.031692 0.000200
0.018642 0.031234 0.000196
0.019036 0.031057 0.000194
0.019431 0.030758 0.000191
0.019825 0.030380 0.000188
0.020219 0.030171 0.000187
0.020614 0.029824 0.000183
0.021008 0.029423 0.000181
0.021403 0.028968 0.000179
0.021797 0.028664 0.000176
0.022192 0.028657 0.000175
0.022586 0.028042 0.000172
0.022981 0.027670 0.000170
0.023375 0.027431 0.000168
0.023770 0.026946 0.000166
0.024230 0.026876 0.000142
0.024756 0.026473 0.000140
0.025282 0.026005 0.000138
0.025808 0.025750 0.000136
0.026334 0.025191 0.000135
0.026860 0.024914 0.000133
0.027386 0.024391 0.000131
0.027912 0.023886 0.000129
0.028438 0.023618 0.000128
0.028964 0.023200 0.000126
0.029489 0.022909 0.000125
0.030015 0.022384 0.000123
0.030541 0.022126 0.000122
0.031067 0.021763 0.000120
0.031593 0.021474 0.000120
0.032185 0.021050 0.000105
0.032842 0.020561 0.000104
0.033500 0.020154 0.000104
0.034157 0.019738 0.000105
0.034815 0.019320 0.000105
0.035472 0.018846 0.000106
0.036130 0.018528 0.000108
